arm,model_name,question_number,mention_text,classification,sources,matched_kb_company,similarity,matched_field,matched_value
direct_context,deepseek-r1:32b,1,Fouts Brothers Fire Equipment,known_kb_company,evidence_company,Fouts Brothers Fire Equipment,1.0,,
direct_context,deepseek-r1:32b,2,Duckyang,known_kb_company,evidence_company,Duckyang,1.0,,
direct_context,deepseek-r1:32b,2,Hitachi Astemo Americas Inc,known_kb_company,evidence_company,Hitachi Astemo Americas Inc.,1.0,,
direct_context,deepseek-r1:32b,2,Hollingsworth & Vose Co,known_kb_company,evidence_company,Hollingsworth & Vose Co.,1.0,,
direct_context,deepseek-r1:32b,2,Hyundai Motor Group,known_kb_company,evidence_company,Hyundai Motor Group,1.0,,
direct_context,deepseek-r1:32b,3,Lear Corporation,known_kb_company,evidence_company,Lear Corporation,1.0,,
direct_context,deepseek-r1:32b,3,Novelis Inc,known_kb_company,evidence_company,Novelis Inc.,1.0,,
direct_context,deepseek-r1:32b,3,ZF Gainesville LLC,known_kb_company,evidence_company,ZF Gainesville LLC,1.0,,
direct_context,deepseek-r1:32b,4,GSC Steel Stamping LLC,known_kb_company,evidence_company,GSC Steel Stamping LLC,1.0,,
direct_context,deepseek-r1:32b,5,Kia Georgia Inc,known_kb_company,evidence_company,Kia Georgia Inc.,1.0,,
direct_context,deepseek-r1:32b,5,Superior Essex Inc,known_kb_company,evidence_company,Superior Essex Inc.,1.0,,
direct_context,deepseek-r1:32b,5,Suzuki Manufacturing of America Corp,known_kb_company,evidence_company,Suzuki Manufacturing of America Corp.,1.0,,
direct_context,deepseek-r1:32b,5,TCI Powder Coatings,known_kb_company,evidence_company,TCI Powder Coatings,1.0,,
direct_context,deepseek-r1:32b,5,TDK Components USA Inc,known_kb_company,evidence_company,TDK Components USA Inc.,1.0,,
direct_context,deepseek-r1:32b,5,TE Connectivity,known_kb_company,evidence_company,TE Connectivity,1.0,,
direct_context,deepseek-r1:32b,5,Teklas USA,known_kb_company,evidence_company,Teklas USA,1.0,,
