question_number,qtype,needs_human,gold_count,gold_row_ids,gold_companies,output_fields,answer_value,note
1,list,False,18,"[53, 57, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90]","[""F&P Georgia Manufacturing"", ""Fouts Brothers Fire Equipment"", ""Hitachi Astemo"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hwashin"", ""Hyundai & LG Energy Solution (LGES)"", ""Hyundai Industrial Co."", ""Hyundai MOBIS (Georgia)"", ""Hyundai Motor Group"", ""Hyundai Transys Georgia Powertrain"", ""Hyundai Transys Georgia Seating Systems"", ""IMMI"", ""IMS Gear Georgia Inc."", ""Inalfa Roof Systems Inc."", ""JAC Products Inc."", ""Jefferson Southern Corp.""]",EV Supply Chain Role; Product / Service,,
2,multi_filter,False,6,"[53, 76, 77, 78, 83, 86]","[""F&P Georgia Manufacturing"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hyundai Motor Group"", ""IMMI""]",Company; Category(tier),,
3,list,False,4,"[60, 84, 129, 139]","[""Freudenberg-NOK"", ""Hyundai Transys Georgia Powertrain"", ""Novelis Inc."", ""Peerless-Winsmith Inc.""]",Company; Primary OEMs,,
4,list,False,2,"[69, 119]","[""GSC Steel Stamping LLC"", ""Morgan Corp.""]",Company; Employment,,
5,list,True,0,[],[],Company; EV Supply Chain Role,,"No 'Direct Manufacturer' value exists in Supplier or Affiliation Type (values are 'Automotive supply chain participant', 'Original Equipment Manufacturer'). Clarify what 'Direct Manufacturer' maps to before grading."
6,lookup,False,3,"[127, 128, 129]","[""Novelis Inc."", ""Novelis Inc."", ""Novelis Inc.""]",Location; Primary Facility Type,,
7,aggregation,False,1,[196],"[""WIKA USA""]",company; EV Supply Chain Role,,Highest-Employment company in Gwinnett County; answer also names its role.
8,aggregation,False,0,[],[],county (Tier 1 only),Troup County (Tier 1 total employment 2435),SCALAR: county with highest total employment among Tier 1.
9,aggregation,False,0,[],[],county; combined employment,Hall County (total employment 314452),SCALAR: county with highest total employment across all companies.
10,list,False,10,"[95, 171, 172, 173, 174, 175, 176, 177, 178, 179]","[""Kia Georgia Inc."", ""Superior Essex Inc."", ""Suzuki Manufacturing of America Corp."", ""TCI Powder Coatings"", ""TDK Components USA Inc."", ""TE Connectivity"", ""Teklas USA"", ""Textron Specialized Vehicles"", ""Thermal Ceramics Inc."", ""Thomson Plastics Inc.""]",Company; Primary OEMs,,
