company,field,expected_values,field_value_score,field_value_present,arm,model_name,question_number
F&P Georgia Manufacturing,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
F&P Georgia Manufacturing,EV Supply Chain Role,Battery Pack,0.0,False,direct_context,deepseek-r1:32b,1
F&P Georgia Manufacturing,Product / Service,Lithium-ion battery recycler and raw materials provider,0.125,False,direct_context,deepseek-r1:32b,1
Fouts Brothers Fire Equipment,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Fouts Brothers Fire Equipment,EV Supply Chain Role,General Automotive,1.0,True,direct_context,deepseek-r1:32b,1
Fouts Brothers Fire Equipment,Product / Service,"Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units",1.0,True,direct_context,deepseek-r1:32b,1
Hitachi Astemo,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Hitachi Astemo,EV Supply Chain Role,General Automotive,1.0,True,direct_context,deepseek-r1:32b,1
Hitachi Astemo,Product / Service,Car audio systems,0.333,False,direct_context,deepseek-r1:32b,1
Hitachi Astemo Americas Inc.,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Hitachi Astemo Americas Inc.,EV Supply Chain Role,Battery Cell,0.0,False,direct_context,deepseek-r1:32b,1
Hitachi Astemo Americas Inc.,Product / Service,Battery cells for electric mobility,0.2,False,direct_context,deepseek-r1:32b,1
Hollingsworth & Vose Co.,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Hollingsworth & Vose Co.,EV Supply Chain Role,Battery Pack,0.0,False,direct_context,deepseek-r1:32b,1
Hollingsworth & Vose Co.,Product / Service,Lithium-ion battery materials,0.0,False,direct_context,deepseek-r1:32b,1
Honda Development & Manufacturing,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Honda Development & Manufacturing,EV Supply Chain Role,Battery Cell,0.0,False,direct_context,deepseek-r1:32b,1
Honda Development & Manufacturing,Product / Service,Battery cells for electric mobility,0.2,False,direct_context,deepseek-r1:32b,1
Hwashin,Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Hwashin,EV Supply Chain Role,General Automotive,1.0,True,direct_context,deepseek-r1:32b,1
Hwashin,Product / Service,Modules and storage systems,0.75,True,direct_context,deepseek-r1:32b,1
Hyundai & LG Energy Solution (LGES),Category,Tier 1/2,1.0,True,direct_context,deepseek-r1:32b,1
Hyundai & LG Energy Solution (LGES),EV Supply Chain Role,General Automotive,1.0,True,direct_context,deepseek-r1:32b,1
Hyundai & LG Energy Solution (LGES),Product / Service,Storage batteries,0.0,False,direct_context,deepseek-r1:32b,1
