arm,model_name,question_number,claimed_company,cited_row_id,kb_company_at_row_id,status,match_type
direct_context,deepseek-r1:32b,1,Fouts Brothers Fire Equipment,10,Fouts Brothers Fire Equipment,match,exact
direct_context,deepseek-r1:32b,2,Duckyang,35,Duckyang,match,exact
direct_context,deepseek-r1:32b,2,Hitachi Astemo Americas Inc,76,Hitachi Astemo Americas Inc.,match,exact
direct_context,deepseek-r1:32b,2,Hollingsworth & Vose Co,77,Hollingsworth & Vose Co.,match,exact
direct_context,deepseek-r1:32b,2,Hyundai Motor Group,83,Hyundai Motor Group,match,exact
direct_context,deepseek-r1:32b,3,Lear Corporation,60,Freudenberg-NOK,mismatch,
direct_context,deepseek-r1:32b,3,Novelis Inc,129,Novelis Inc.,match,exact
direct_context,deepseek-r1:32b,3,ZF Gainesville LLC,203,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,3,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,4,GSC Steel Stamping LLC,69,GSC Steel Stamping LLC,match,exact
direct_context,deepseek-r1:32b,5,Kia Georgia Inc,95,Kia Georgia Inc.,match,exact
direct_context,deepseek-r1:32b,5,Superior Essex Inc,171,Superior Essex Inc.,match,exact
direct_context,deepseek-r1:32b,5,Suzuki Manufacturing of America Corp,172,Suzuki Manufacturing of America Corp.,match,exact
direct_context,deepseek-r1:32b,5,TCI Powder Coatings,173,TCI Powder Coatings,match,exact
direct_context,deepseek-r1:32b,5,TDK Components USA Inc,174,TDK Components USA Inc.,match,exact
direct_context,deepseek-r1:32b,5,TE Connectivity,175,TE Connectivity,match,exact
direct_context,deepseek-r1:32b,5,Teklas USA,176,Teklas USA,match,exact
direct_context,deepseek-r1:32b,5,Textron Specialized Vehicles,177,Textron Specialized Vehicles,match,exact
direct_context,deepseek-r1:32b,5,Thermal Ceramics Inc,178,Thermal Ceramics Inc.,match,exact
direct_context,deepseek-r1:32b,5,Thomson Plastics Inc,179,Thomson Plastics Inc.,match,exact
direct_context,deepseek-r1:32b,6,Novelis Inc,128,Novelis Inc.,match,exact
direct_context,deepseek-r1:32b,6,Novelis Inc,129,Novelis Inc.,match,exact
direct_context,deepseek-r1:32b,7,Arising Industries Inc,5,Arising Industries Inc.,match,exact
direct_context,deepseek-r1:32b,8,JTEKT North America Corp,1,JTEKT North America Corp.,match,exact
direct_context,deepseek-r1:32b,9,JTEKT North America Corp,1,JTEKT North America Corp.,match,exact
direct_context,deepseek-r1:32b,9,Grudem,3,Grudem,match,exact
direct_context,deepseek-r1:32b,9,ZF Gainesville LLC,204,ZF Gainesville LLC,match,exact
direct_context,deepseek-r1:32b,9,ZF Gainesville LLC,205,ZF Gainesville LLC,match,exact
