arm,model_name,question_number,unknown_company_mention
direct_context,deepseek-r1:32b,39,Remark International LLC
direct_context,gemma3:27b,11,Sewon E-Hwa Interior Systems
direct_context,gemma3:27b,15,Miscellaneous Manufacturing Industries
direct_context,gemma3:27b,15,Primary Metal Industries
direct_context,gemma3:27b,15,Tessy Plastics Inc
direct_context,gemma3:27b,18,Jackson America
direct_context,gemma3:27b,29,Beavor Manufacturing Co. Inc
direct_context,gemma3:27b,29,Thomon Plastics Inc
direct_context,gemma3:27b,32,GSC Steel Engineering Inc
direct_context,gemma3:27b,32,Jackson America
direct_context,gemma3:27b,37,Hyundai Astemo Americas Inc
direct_context,gemma3:27b,41,BASF Corporation
direct_context,gemma3:27b,41,Dow Chemical Company
direct_context,gemma3:27b,41,Primary Metal Industries
direct_context,mistral-small3.2:24b,21,Primary Metal Industries
direct_context,mistral-small3.2:24b,26,Jackson America
direct_context,mistral-small3.2:24b,26,Primary Metal Industries
direct_context,mistral-small3.2:24b,31,Jackson America
direct_context,mistral-small3.2:24b,41,Primary Metal Industries
direct_context,qwen3.6:35b-a3b,18,Jackson America
direct_context,qwen3.6:35b-a3b,32,Jackson America
direct_context,qwen3.6:35b-a3b,39,Ramack International LLC
direct_context,qwen3:30b,18,Jackson America
direct_context,qwen3:30b,32,Jackson America
batchwise_map_reduce,gemma3:12b,18,Jackson America
batchwise_map_reduce,gemma3:12b,31,DAESOL Solution Georgia LLC
batchwise_map_reduce,gemma3:12b,32,Jackson America
batchwise_map_reduce,qwen2.5:14b,32,Jackson America
batchwise_map_reduce,qwen2.5:14b,39,Remarc International LLC
batchwise_map_reduce,qwen2.5:14b,42,Remarc International LLC
