judge_model,arm,candidate_model,question_number,question_type,judge_recommended,status,faithfulness,completeness,correctness,judge_total,hallucinated_company,needs_human_review,notes,raw_judge_response
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,deepseek-r1:32b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,gemma3:27b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,40,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,mistral-small3.2:24b,42,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,15,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,16,list_multi_filter_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,23,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,24,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,25,count_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,30,aggregation_ranking_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,33,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,38,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
<NON_SELF_JUDGE_MODEL>,direct_context,qwen3:30b,39,list_or_lookup_judge_recommended,True,error,,,,,,,HTTPError: 400 Client Error: Bad Request for url: http://localhost:11434/api/chat,
