arm,model_name,question_number,question_type,judge_recommended,use_case_category,status,answered,error_message,gold_count,pred_count,count_correct,count_error,gold_company_count,pred_company_count,company_precision,company_recall,company_f1,missing_companies,extra_kb_companies,gold_county_count,pred_county_count,county_precision,county_recall,county_f1,entity_basis,entity_precision,entity_recall,entity_f1,gold_numbers,numeric_recall,field_value_accuracy,unknown_company_mentions,unknown_company_mention_count,has_answer_section,has_evidence_section,has_count_section,has_supporting_row_ids_section,has_notes_section,format_core_ok,supporting_row_ids,supporting_row_id_count,bad_supporting_row_ids,duplicate_supporting_row_id_count,count_vs_supporting_ids_ok,inline_thinking_leak,prompt_eval_count,eval_count,num_ctx_requested,runtime_seconds,map_failed_count,candidate_count,verified_count,response_char_count,source_file,source_question
direct_context,deepseek-r1:32b,1,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,18,1,False,-17,18,1,1.0,0.0556,0.1053,"[""F&P Georgia Manufacturing"", ""Hitachi Astemo"", ""Hitachi Astemo Americas Inc."", ""Hollingsworth & Vose Co."", ""Honda Development & Manufacturing"", ""Hwashin"", ""Hyundai & LG Energy Solution (LGES)"", ""Hyundai Industrial Co."", ""Hyundai MOBIS (Georgia)"", ""Hyundai Motor Group"", ""Hyundai Transys Georgia Powertrain"", ""Hyundai Transys Georgia Seating Systems"", ""IMMI"", ""IMS Gear Georgia Inc."", ""Inalfa Roof Systems Inc."", ""JAC Products Inc."", ""Jefferson Southern Corp.""]",[],0,0,1.0,1.0,1.0,company,1.0,0.0556,0.1053,"[""1"", ""2""]",1.0,0.5741,[],0,True,True,True,True,False,True,[10],1,[],0,True,False,40010,425,65536,79.646598928,,,,696,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service."
direct_context,deepseek-r1:32b,2,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,6,4,False,-2,6,4,0.75,0.5,0.6,"[""F&P Georgia Manufacturing"", ""Honda Development & Manufacturing"", ""IMMI""]","[""Duckyang""]",0,0,1.0,1.0,1.0,company,0.75,0.5,0.6,"[""1"", ""2""]",1.0,1.0,[],0,True,True,True,True,False,True,"[35, 76, 77, 83]",4,[],0,True,False,40006,513,65536,25.768935173,,,,652,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?"
direct_context,deepseek-r1:32b,3,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,5,4,False,-1,5,3,0.6667,0.4,0.5,"[""Freudenberg-NOK"", ""Hyundai Transys Georgia Powertrain"", ""Peerless-Winsmith Inc.""]","[""Lear Corporation""]",0,0,1.0,1.0,1.0,company,0.6667,0.4,0.5,[],,0.8889,[],0,True,True,True,True,False,True,"[60, 129, 203, 204]",4,[],0,True,False,40004,537,65536,26.857880208,,,,540,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
direct_context,deepseek-r1:32b,4,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,4,1,False,-3,4,1,1.0,0.25,0.4,"[""Morgan Corp."", ""Yazaki North America"", ""ZF Gainesville LLC""]",[],0,0,1.0,1.0,1.0,company,1.0,0.25,0.4,"[""320"", ""350"", ""17500"", ""230000""]",0.25,0.25,[],0,True,True,True,True,True,True,[69],1,[],0,True,False,40004,465,65536,23.507185842,,,,617,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size."
direct_context,deepseek-r1:32b,5,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,,10,,,11,10,1.0,0.9091,0.9524,"[""Minebea AccessSolutions USA Inc.""]",[],0,0,1.0,1.0,1.0,company,1.0,0.9091,0.9524,"[""11""]",0.0,0.303,[],0,True,True,True,True,False,True,"[95, 171, 172, 173, 174, 175, 176, 177, 178, 179]",10,[],0,True,False,40004,746,65536,36.78368748,,,,1096,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?"
direct_context,deepseek-r1:32b,6,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,3,2,False,-1,1,1,1.0,1.0,1.0,[],[],1,1,1.0,1.0,1.0,company,1.0,1.0,1.0,[],,1.0,[],0,True,True,True,True,False,True,"[128, 129]",2,[],0,True,False,40007,515,65536,25.920560547,,,,523,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?"
direct_context,deepseek-r1:32b,7,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,1,,,1,1,0.0,0.0,0.0,"[""WIKA USA""]","[""Arising Industries Inc.""]",1,1,1.0,1.0,1.0,company,0.0,0.0,0.0,"[""250000""]",0.0,0.3333,[],0,True,True,True,True,False,True,[5],1,[],0,True,False,40007,773,65536,38.058361725,,,,472,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?"
direct_context,deepseek-r1:32b,8,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,1,,,0,1,0.0,1.0,0.0,[],"[""JTEKT North America Corp.""]",1,1,0.0,0.0,0.0,county,0.0,0.0,0.0,"[""1"", ""2435""]",0.5,,[],0,True,True,True,True,False,True,[1],1,[],0,True,False,40000,792,65536,38.911111624,,,,416,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Which county have the highest total Employment among Tier 1 suppliers only?
direct_context,deepseek-r1:32b,9,aggregation_ranking,False,Supply Chain Mapping & Visibility,ok,True,,,4,,,0,3,0.0,1.0,0.0,[],"[""Grudem"", ""JTEKT North America Corp."", ""ZF Gainesville LLC""]",1,1,1.0,1.0,1.0,county,1.0,1.0,1.0,"[""314452""]",0.0,,[],0,True,True,True,True,False,True,"[1, 3, 204, 205]",4,[],0,True,False,40007,2805,65536,134.317990691,,,,687,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which county has the highest total employment across all companies, and what is the combined employment in that county?"
direct_context,deepseek-r1:32b,10,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,10,2,False,-8,10,4,0.5,0.2,0.2857,"[""Superior Essex Inc."", ""TCI Powder Coatings"", ""TDK Components USA Inc."", ""TE Connectivity"", ""Teklas USA"", ""Textron Specialized Vehicles"", ""Thermal Ceramics Inc."", ""Thomson Plastics Inc.""]","[""Club Car LLC"", ""Rivian Automotive""]",0,0,1.0,1.0,1.0,company,0.5,0.2,0.2857,[],,0.3,[],0,True,True,True,True,False,True,"[95, 172]",2,[],0,True,False,40005,610,65536,30.33438878,,,,545,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
direct_context,deepseek-r1:32b,11,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,3,3,True,0,1,1,1.0,1.0,1.0,[],[],1,1,1.0,1.0,1.0,company,1.0,1.0,1.0,[],,1.0,[],0,True,True,True,True,False,True,"[148, 151, 160]",3,[],0,True,False,40008,425,65536,21.65442706,,,,764,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.
direct_context,deepseek-r1:32b,12,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,3,30,False,27,3,26,0.1154,1.0,0.2069,[],"[""AVS"", ""Archer Aviation Inc."", ""Arising Industries Inc."", ""Aspen Aerogels"", ""Aurubis"", ""Blue Ridge Manufacturing"", ""Constellium Automotive USA"", ""Continental Automotive"", ""DAEHAN Solution Georgia LLC"", ""DaeChang Seat Company"", ""Daesol Material Georgia, LLC"", ""Decostar Industries"", ""Dongwon Autopart Technology Georgia LLC"", ""EVCO Plastics"", ""Eaton Corp."", ""F&P Georgia Manufacturing"", ""FREYR Battery"", ""Fouts Brothers Fire Equipment"", ""GEDIA Georgia LLC"", ""GLOVIS Georgia LLC"", ""Global Powertrain Systems LLC"", ""Haering Precision USA LP"", ""Solvay Specialty Polymers USA LLC""]",0,0,1.0,1.0,1.0,company,0.1154,1.0,0.2069,[],,1.0,[],0,True,True,True,True,True,True,"[5, 6, 7, 9, 10, 13, 16, 18, 21, 24, 26, 29, 30, 34, 35, 36, 39, 41, 49, 53, 56, 59, 65, 69, 71, 73, 74, 81, 82, 100]",30,[],0,True,False,40013,4873,65536,233.725113354,,,,1922,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,List all Tier 2/3 companies in Georgia with primary involvement in the electric vehicle or battery supply chain and specify their respective roles.
direct_context,deepseek-r1:32b,13,list_or_lookup,False,Supply Chain Mapping & Visibility,ok,True,,,2,,,6,3,0.6667,0.3333,0.4444,"[""Duckyang"", ""Enchem America Inc."", ""GSC Steel Stamping LLC"", ""Hyundai Transys Georgia Powertrain""]","[""Rivian Automotive""]",0,0,1.0,1.0,1.0,company,0.6667,0.3333,0.4444,"[""1"", ""2"", ""3""]",0.6667,0.3889,[],0,True,True,True,True,False,True,"[150, 172]",2,[],0,True,False,40009,838,65536,41.0253991,,,,505,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Show the full supplier network linked to Rivian Automotive in Georgia, broken down by tier and EV Supply Chain Role."
direct_context,deepseek-r1:32b,14,list_multi_filter,False,Supply Chain Mapping & Visibility,ok,True,,2,1,False,-1,2,1,1.0,0.5,0.6667,"[""Woodbridge Foam Corp.""]",[],0,0,1.0,1.0,1.0,company,1.0,0.5,0.6667,[],,1.0,[],0,True,True,True,True,True,True,[196],1,[],0,True,False,40009,349,65536,18.089118791,,,,557,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Identify all Georgia companies with an EV Supply Chain Role related to wiring harnesses and show their Primary OEMs.
direct_context,deepseek-r1:32b,15,list_or_lookup_judge_recommended,True,Supplier Discovery & Matchmaking,ok,True,,0,10,False,10,0,10,0.0,1.0,0.0,[],"[""Arising Industries Inc."", ""Decostar Industries"", ""Denso Manufacturing Georgia"", ""IMMI"", ""KTX America Corporation"", ""Lear Corporation"", ""Lehigh Technologies Inc."", ""Linde + Wiemann"", ""Lund International Inc./Ventshade Division"", ""Lyle Industries Inc.""]",0,0,1.0,1.0,1.0,none_expected,0.0,1.0,0.0,"[""2"", ""3""]",1.0,,[],0,True,True,True,True,True,True,"[70, 75, 84, 96, 100, 101, 102, 103, 104, 105]",10,[],0,True,False,40013,851,65536,41.722763793,,,,1587,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Identify Georgia Tier 2/3 companies in the Electronic and Electrical Equipment industry group that could be upgraded to supply EV power electronics.
direct_context,deepseek-r1:32b,16,list_multi_filter_judge_recommended,True,Supplier Discovery & Matchmaking,ok,True,,1,1,True,0,1,1,1.0,1.0,1.0,[],[],0,0,1.0,1.0,1.0,company,1.0,1.0,1.0,[],,1.0,[],0,True,True,True,True,True,True,[35],1,[],0,True,False,40006,280,65536,14.796182829,,,,663,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Find Georgia-based companies that manufacture copper foil or electrodeposited materials suitable for EV battery current collectors.
direct_context,deepseek-r1:32b,17,list_or_lookup,False,Supplier Discovery & Matchmaking,ok,True,,,0,,,0,0,1.0,1.0,1.0,[],[],0,0,1.0,1.0,1.0,not_applicable,,,,"[""1"", ""2""]",1.0,,[],0,True,True,True,True,True,True,"[1, 1, 2]",2,[],1,False,False,40012,1184,65536,57.491795491,,,,372,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which Georgia Tier 1/2 companies produce engineered plastics, polymers, or composite materials applicable to EV structural or thermal components?"
direct_context,deepseek-r1:32b,18,list_or_lookup,False,Supplier Discovery & Matchmaking,ok,True,,5,2,False,-3,5,2,1.0,0.4,0.5714,"[""Hyundai Transys Georgia Seating Systems"", ""Yazaki North America"", ""ZF Gainesville LLC""]",[],0,0,1.0,1.0,1.0,company,1.0,0.4,0.5714,"[""1"", ""2"", ""3""]",1.0,0.5,[],0,True,True,True,True,False,True,"[69, 99]",2,[],0,True,False,40011,380,65536,19.528250759,,,,499,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Identify Georgia companies producing DC-to-DC converters, capacitors, or power electronics components and what tier is each assigned?"
direct_context,deepseek-r1:32b,19,list_or_lookup,False,Supplier Discovery & Matchmaking,ok,True,,1,1,True,0,1,1,1.0,1.0,1.0,[],[],0,0,1.0,1.0,1.0,company,1.0,1.0,1.0,"[""2"", ""3""]",1.0,1.0,[],0,True,True,True,True,False,True,[39],1,[],0,True,False,40005,336,65536,17.446208619,,,,494,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which Georgia companies provide powder coating-related products or services, and what tier are they classified under?"
direct_context,deepseek-r1:32b,20,list_or_lookup,False,Supplier Discovery & Matchmaking,ok,True,,6,2,False,-4,6,2,1.0,0.3333,0.5,"[""F&P Georgia Manufacturing"", ""Honda Development & Manufacturing"", ""Hyundai Motor Group"", ""IMMI""]",[],0,0,1.0,1.0,1.0,company,1.0,0.3333,0.5,"[""1"", ""2""]",1.0,0.75,[],0,True,True,True,True,False,True,"[76, 77]",2,[],0,True,False,40028,585,65536,29.242817135,,,,734,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,"Which Georgia companies are classified under Battery Cell/Battery Pack roles or battery-related products and are Tier 1/2, making them ready for direct OEM engagement and show which Primary OEMs they are linked to."
direct_context,deepseek-r1:32b,21,list_multi_filter,False,Supplier Discovery & Matchmaking,ok,True,,5,14,False,9,5,14,0.0714,0.2,0.1053,"[""ACM Georgia LLC"", ""AVS"", ""Arising Industries Inc."", ""FOX Factory""]","[""ADVICS Manufacturing Georgia LLC"", ""Archer Aviation Inc."", ""Aurubis"", ""Hyundai Transys Georgia Powertrain"", ""IMMI"", ""Kia Georgia Inc."", ""Lyle Industries Inc."", ""Novelis Inc."", ""Panasonic Automotive Systems Co."", ""QSR Inc."", ""SK Battery America"", ""TI Fluid Systems"", ""ZF Gainesville LLC""]",0,0,1.0,1.0,1.0,company,0.0714,0.2,0.1053,"[""2"", ""3"", ""300"", ""310"", ""345"", ""400"", ""500"", ""582""]",0.625,0.65,[],0,True,True,True,True,True,True,"[6, 13, 39, 56, 79, 84, 95, 106, 128, 137, 149, 163, 180, 204]",14,[],0,True,False,40017,1191,65536,57.762748207,,,,2400,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Find Tier 2/3 Georgia-based suppliers with employment over 300 that are classified as General Automotive but produce components transferable to EV platforms.
direct_context,deepseek-r1:32b,22,list_or_lookup,False,Supplier Discovery & Matchmaking,ok,True,,2,1,False,-1,2,1,1.0,0.5,0.6667,"[""Archer Aviation Inc.""]",[],0,0,1.0,1.0,1.0,company,1.0,0.5,0.6667,"[""3""]",1.0,0.8333,[],0,True,True,True,True,False,True,[111],1,[],0,True,False,40009,474,65536,23.957676543,,,,532,results/direct_context/raw_json/answers_deepseek-r1_32b.jsonl,Identify Georgia Tier 2/3 companies in the Chemicals and Allied Products industry group and list their products.
