question_number,question,answer,model,num_ctx,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","Q: Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.
Answer: 
1. F&P Georgia Manufacturing - EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery recycler and raw materials provider
2. Fouts Brothers Fire Equipment - EV Supply Chain Role: General Automotive | Product / Service: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
3. Hitachi Astemo - EV Supply Chain Role: General Automotive | Product / Service: Car audio systems
4. Hitachi Astemo Americas Inc. - EV Supply Chain Role: Battery Cell | Product / Service: Battery cells for electric mobility
5. Hollingsworth & Vose Co. - EV Supply Chain Role: Battery Pack | Product / Service: Lithium-ion battery materials
6. Honda Development & Manufacturing - EV Supply Chain Role: Battery Cell | Product / Service: Battery cells for electric mobility
7. Hwashin - EV Supply Chain Role: General Automotive | Product / Service: Modules and storage systems
8. Hyundai & LG Energy Solution (LGES) - EV Supply Chain Role: General Automotive | Product / Service: Storage batteries
9. Hyundai Industrial Co. - EV Supply Chain Role: General Automotive | Product / Service: Automotive batteries
10. Hyundai MOBIS (Georgia) - EV Supply Chain Role: General Automotive | Product / Service: Capacitors, electronic automotive components
11. Hyundai Motor Group - EV Supply Chain Role: Battery Pack | Product / Service: Battery parts for electric vehicles
12. Hyundai Transys Georgia Powertrain - EV Supply Chain Role: Thermal Management | Product / Service: Electrical heaters, control units, and actuators
13. Hyundai Transys Georgia Seating Systems - EV Supply Chain Role: General Automotive | Product / Service: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
14. IMMI - EV Supply Chain Role: Battery Pack | Product / Service: Battery electrolyte
15. IMS Gear Georgia Inc. - EV Supply Chain Role: General Automotive | Product / Service: Car audio systems
16. Inalfa Roof Systems Inc. - EV Supply Chain Role: General Automotive | Product / Service: Automotive electronic safety systems
17. JAC Products Inc. - EV Supply Chain Role: General Automotive | Product / Service: Switches, resistors and related products
18. Jefferson Southern Corp. - EV Supply Chain Role: General Automotive | Product / Service: High current switches and resistors for automotive HVAC systems

Count: 18
Supporting companies/rows: F&P Georgia Manufacturing (row_id 53), Fouts Brothers Fire Equipment (row_id 57), Hitachi Astemo (row_id 75), Hitachi Astemo Americas Inc. (row_id 76), Hollingsworth & Vose Co. (row_id 77), Honda Development & Manufacturing (row_id 78), Hwashin (row_id 79), Hyundai & LG Energy Solution (LGES) (row_id 80), Hyundai Industrial Co. (row_id 81), Hyundai MOBIS (Georgia) (row_id 82), Hyundai Motor Group (row_id 83), Hyundai Transys Georgia Powertrain (row_id 84), Hyundai Transys Georgia Seating Systems (row_id 85), IMMI (row_id 86), IMS Gear Georgia Inc. (row_id 87), Inalfa Roof Systems Inc. (row_id 88), JAC Products Inc. (row_id 89), Jefferson Southern Corp. (row_id 90)
Notes:",qwen3.6:35b-a3b,65536,39575,5106,326048800581,237109795,617665005,322282242848
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","Q: Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?
Answer: 
- F&P Georgia Manufacturing (Tier 1/2)
- Hitachi Astemo Americas Inc. (Tier 1/2)
- Hollingsworth & Vose Co. (Tier 1/2)
- Honda Development & Manufacturing (Tier 1/2)
- Hyundai Motor Group (Tier 1/2)
- IMMI (Tier 1/2)
Count: 6
Supporting companies/rows: F&P Georgia Manufacturing (row_id 53), Hitachi Astemo Americas Inc. (row_id 76), Hollingsworth & Vose Co. (row_id 77), Honda Development & Manufacturing (row_id 78), Hyundai Motor Group (row_id 83), IMMI (row_id 86)
Notes:",qwen3.6:35b-a3b,65536,39571,3773,240746830536,252825470,585899834,237737067645
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"Q: Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
Answer: 
- Freudenberg-NOK: Multiple OEMs
- Hyundai Transys Georgia Powertrain: Hyundai Kia Rivian
- Novelis Inc.: Multiple OEMs
- Peerless-Winsmith Inc.: Multiple OEMs
Count: 4
Supporting companies/rows: Freudenberg-NOK (row_id 60), Hyundai Transys Georgia Powertrain (row_id 84), Novelis Inc. (row_id 129), Peerless-Winsmith Inc. (row_id 139)
Notes:",qwen3.6:35b-a3b,65536,39569,1757,111931874435,256017192,600435617,110009565459
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","Q: List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.
Answer: 
- GSC Steel Stamping LLC: 350
- Morgan Corp.: 320
Count: 2
Supporting companies/rows: GSC Steel Stamping LLC (row_id 69), Morgan Corp. (row_id 119)
Notes:",qwen3.6:35b-a3b,65536,39569,2354,149606531900,238763488,599098936,147358446576
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Q: Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?
Answer: 
- Kia Georgia Inc. (Vehicle Assembly)
- Minebea AccessSolutions USA Inc. (General Automotive)
- Superior Essex Inc. (Vehicle Assembly)
- Suzuki Manufacturing of America Corp. (Vehicle Assembly)
- TCI Powder Coatings (Vehicle Assembly)
- TDK Components USA Inc. (Vehicle Assembly)
- TE Connectivity (Vehicle Assembly)
- Teklas USA (Vehicle Assembly)
- Textron Specialized Vehicles (Vehicle Assembly)
- Thermal Ceramics Inc. (Vehicle Assembly)
- Thomson Plastics Inc. (Vehicle Assembly)
Total count: 11 companies.
Supporting companies/rows: Kia Georgia Inc. (row_id 95), Minebea AccessSolutions USA Inc. (row_id 116), Superior Essex Inc. (row_id 171), Suzuki Manufacturing of America Corp. (row_id 172), TCI Powder Coatings (row_id 173), TDK Components USA Inc. (row_id 174), TE Connectivity (row_id 175), Teklas USA (row_id 176), Textron Specialized Vehicles (row_id 177), Thermal Ceramics Inc. (row_id 178), Thomson Plastics Inc. (row_id 179)
Notes:",qwen3.6:35b-a3b,65536,39569,3031,193061611653,269743259,627544965,190403517494
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Q: What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?
Answer: Novelis Inc. operates in Atlanta, Fulton County, and the primary facility type associated with this location is Manufacturing Plant.
Supporting companies/rows: Novelis Inc. (row_id 127, 128, 129)
Notes:",qwen3.6:35b-a3b,65536,39572,1262,80253429987,254941425,618877633,78558650887
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?","Q: In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?
Answer: WIKA USA has the highest employment in Gwinnett County with 250,000 employees, and its EV Supply Chain Role is ""HV and LV wiring harnesses for EVs and ICE vehicles"".
Supporting companies/rows: WIKA USA (row_id 196)
Notes:",qwen3.6:35b-a3b,65536,39572,3259,207075176837,238700439,598753280,204340618041
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Q: Which county has the highest total Employment among Tier 1 suppliers only?
Answer: Troup County
Supporting companies/rows: Kyungshin America Corp. (row_id 98), Lear Corporation (row_id 100), Milliken & Co./Valway Plant (row_id 115), Mobis Alabama LLC (row_id 117), Seoyon E-HWA (row_id 157), Seoyon E-Hwa Interior Systems (row_id 158), Sewon America Inc. (row_id 159), Sewon America Inc. (row_id 160), Sewon America Inc. (row_id 161)
Notes:",qwen3.6:35b-a3b,65536,39565,11776,765115471662,236740402,596553145,757767779264
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?","Q: Which county has the highest total employment across all companies, and what is the combined employment in that county?
Answer: Hall County, with a combined employment of 314,452.
Supporting companies/rows: Row 38 (Denso Manufacturing Georgia), Row 44 (Duckyang), Row 68 (Grudem), Row 70 (Haering Precision USA LP), Row 71 (Haering Precision USA LP), Row 93 (JTEKT North America Corp.), Row 131 (Oneda Corp.), Row 139 (Peerless-Winsmith Inc.), Row 184 (Toyota Industries Group (TACG-TICA)), Row 203 (ZF Gainesville LLC), Row 204 (ZF Gainesville LLC), Row 205 (ZF Gainesville LLC)
Notes:",qwen3.6:35b-a3b,65536,39572,11635,753983276202,240543958,602909234,746714607231
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"Q: Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
Answer: 
- Kia Georgia Inc. (Primary OEM: Club Car LLC)
- Superior Essex Inc. (Primary OEM: Hyundai Motor Group)
- Suzuki Manufacturing of America Corp. (Primary OEM: Rivian Automotive)
- TCI Powder Coatings (Primary OEM: Kia Georgia Inc.)
- TDK Components USA Inc. (Primary OEM: Mercedes-Benz USA LLC)
- TE Connectivity (Primary OEM: Blue Bird Corp.)
- Teklas USA (Primary OEM: Yamaha Motor Manufacturing Corp.)
- Textron Specialized Vehicles (Primary OEM: Textron Specialized Vehicles)
- Thermal Ceramics Inc. (Primary OEM: SK Battery America)
- Thomson Plastics Inc. (Primary OEM: Archer Aviation Inc.)
Total count: 10
Supporting companies/rows: Kia Georgia Inc. (row_id 95), Superior Essex Inc. (row_id 171), Suzuki Manufacturing of America Corp. (row_id 172), TCI Powder Coatings (row_id 173), TDK Components USA Inc. (row_id 174), TE Connectivity (row_id 175), Teklas USA (row_id 176), Textron Specialized Vehicles (row_id 177), Thermal Ceramics Inc. (row_id 178), Thomson Plastics Inc. (row_id 179)
Notes:",qwen3.6:35b-a3b,65536,39570,3109,197569053659,243908529,603272415,194905926753
