question_number,question,answer,model,num_ctx,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","Q: Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.
Answer:
1. F&P Georgia Manufacturing (row_id: 53)
   - EV Supply Chain Role: Battery Pack
   - Product / Service: Lithium-ion battery recycler and raw materials provider

2. Hitachi Astemo (row_id: 75)
   - EV Supply Chain Role: General Automotive
   - Product / Service: Car audio systems

3. Hitachi Astemo Americas Inc. (row_id: 76)
   - EV Supply Chain Role: Battery Cell
   - Product / Service: Battery cells for electric mobility

4. Hollingsworth & Vose Co. (row_id: 77)
   - EV Supply Chain Role: Battery Pack
   - Product / Service: Lithium-ion battery materials

5. Honda Development & Manufacturing (row_id: 78)
   - EV Supply Chain Role: Battery Cell
   - Product / Service: Battery cells for electric mobility

6. Hwashin (row_id: 79)
   - EV Supply Chain Role: General Automotive
   - Product / Service: Modules and storage systems

7. Hyundai & LG Energy Solution (LGES) (row_id: 80)
   - EV Supply Chain Role: General Automotive
   - Product / Service: Storage batteries

8. Hyundai Industrial Co. (row_id: 81)
   - EV Supply Chain Role: General Automotive
   - Product / Service: Automotive batteries

9. Hyundai MOBIS (Georgia) (row_id: 82)
   - EV Supply Chain Role: General Automotive
   - Product / Service: Capacitors, electronic automotive components

10. Hyundai Motor Group (row_id: 83)
    - EV Supply Chain Role: Battery Pack
    - Product / Service: Battery parts for electric vehicles

11. Hyundai Transys Georgia Powertrain (row_id: 84)
    - EV Supply Chain Role: Thermal Management
    - Product / Service: Electrical heaters, control units, and actuators

12. Hyundai Transys Georgia Seating Systems (row_id: 85)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts

13. IMMI (row_id: 86)
    - EV Supply Chain Role: Battery Pack
    - Product / Service: Battery electrolyte

14. IMS Gear Georgia Inc. (row_id: 87)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Car audio systems

15. Inalfa Roof Systems Inc. (row_id: 88)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive electronic safety systems

16. JAC Products Inc. (row_id: 89)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Switches, resistors and related products

17. Jefferson Southern Corp. (row_id: 90)
    - EV Supply Chain Role: General Automotive
    - Product / Service: High current switches and resistors for automotive HVAC systems

18. Jefferson Southern Corporation (row_id: 91)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Stamped metal automobile body parts

19. Joon Georgia, Inc. (row_id: 92)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Seats and seat foam pads

20. JTEKT North America Corp. (row_id: 93)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Vehicle roofing systems

21. Kautex Inc. (row_id: 94)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive exterior and interior systems

22. Kia Georgia Inc. (row_id: 95)
    - EV Supply Chain Role: Vehicle Assembly
    - Product / Service: Golf carts, various off-road vehicles, electric on-road vehicles

23. KTX America Corporation (row_id: 96)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Stamped components and decorative trim

24. Kumho Tire USA Inc. (row_id: 97)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Stamped components and decorative trim

25. Kyungshin America Corp. (row_id: 98)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Front-end modules, front-rolling chassis modules, rear-chassis modules

26. Lark United Manufacturing Inc. (row_id: 99)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Motor vehicle transmissions

27. Lear Corporation (row_id: 100)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Pressed parts in the body-in-white segment and structural components

28. Lehigh Technologies Inc. (row_id: 101)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Suspension related functional components

29. Linde + Wiemann (row_id: 102)
    - EV Supply Chain Role: General Automotive
    - Product / Service: 6-speed automatic transmissions

30. Lund International Inc. (row_id: 103)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive seat frames

31. Lund International Inc./Ventshade Division (row_id: 104)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Industrial trailers and truck bodies

32. Lyle Industries Inc. (row_id: 105)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automatic transmissions

33. Lyle Industries Inc. (row_id: 106)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Molded injection auto parts

34. Mack Trucks (row_id: 107)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Interior and exterior automotive components

35. Magna International (row_id: 108)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Ceramic fiber insulation blankets

36. Mando America Corp. (row_id: 109)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive body parts

37. Master Craft Engineering Inc. (row_id: 110)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Door modules, tailgate latches, and hood latches

38. MAT Heavy Duty (row_id: 111)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Vehicle protection and interior comfort products

39. Maxxis International USA (row_id: 112)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Brake systems

40. Mercedes-Benz USA LLC (row_id: 113)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Assembles motor vehicle chassis, automotive stamping

41. Michelin Tread Technologies (row_id: 114)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Ventvisors, hood shields, floor mats, automotive accessories

42. Milliken & Co./Valway Plant (row_id: 115)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive brakes, steering and suspension systems

43. Minebea AccessSolutions USA Inc. (row_id: 116)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Headquarters and distribution location

44. Mobis Alabama LLC (row_id: 117)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Products and systems for ATVs and other off-road vehicles

45. MollerTech LLC (row_id: 118)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Injection molded components

46. Morgan Corp. (row_id: 119)
    - EV Supply Chain Role: Charging Infrastructure
    - Product / Service: Engine components, turbochargers, exhaust parts and other automotive parts

47. Murata Electronics North America Inc. (row_id: 120)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Motor vehicle brake systems and parts

48. Neaton Rome Inc. (row_id: 121)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive seating and interior electronics

49. Nidec Elesys Americas Corp. (row_id: 122)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Seating systems

50. NIFCO KTW America Corp. (row_id: 123)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Inventory management for Kia

51. Nile Automotive (row_id: 124)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Window regulators and door frames

52. Nisshinbo Automotive Manufacturing Inc. (row_id: 125)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Braking and suspension products

53. Nivel Parts & Manufacturing Co. LLC (row_id: 126)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Industrial trailers and truck bodies

54. Novelis Inc. (row_id: 127)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Motor vehicle transmissions

55. Novelis Inc. (row_id: 128)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Seat, interior, and precision metal stamping

56. Novelis Inc. (row_id: 129)
    - EV Supply Chain Role: Thermal Management
    - Product / Service: Acoustic and thermally effective automotive components

57. NVH Korea (row_id: 130)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive stampings

58. Oneda Corp. (row_id: 131)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Lightweight structural automotive parts

59. OTR Wheel Engineering Inc. (row_id: 132)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Single axle trailers

60. Paccar (row_id: 133)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Semi-trailers

61. PAI Industries Inc. (row_id: 134)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Brake pads

62. Pak-Lite Inc. (row_id: 135)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Tires, wheels and rubber tracks

63. Panasonic Automotive Systems Co. (row_id: 136)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Axle bearings

64. Panasonic Automotive Systems Co. (row_id: 137)
    - EV Supply Chain Role: Materials
    - Product / Service: Fluid carrying systems; steel pipe and tubes; powertrain and plastic tank systems

65. Panduit Corp. (row_id: 138)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Truck bodies and parts

66. Peerless-Winsmith Inc. (row_id: 139)
    - EV Supply Chain Role: Thermal Management
    - Product / Service: Thermal solutions

67. Perkins Small Engines LLC (row_id: 140)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Specialized commercial vehicles including truck bodies, buses and armored vehicles

68. Peterson Spring (row_id: 141)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Precision turned parts for the automotive industry

69. PHA Body Systems LLC (row_id: 142)
    - EV Supply Chain Role: Materials
    - Product / Service: Plastic fuel tanks and sunroofs

70. Piedmont Automotive Products Inc. (row_id: 143)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Interior components and accessories

71. PIOLAX Corp. (row_id: 144)
    - EV Supply Chain Role: General Automotive
    - Product / Service: All terrain vehicles

72. Pirelli Tire North America LLC (row_id: 145)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Motor vehicle windshield wiper systems

73. Porsche Cars North America Inc. (row_id: 146)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Aftermarket automotive accessories

74. PPG Industries Inc. (row_id: 147)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Muffler and exhaust systems

75. Propex Operating Co. LLC (row_id: 148)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Ventvisors, hood shields, floor mats, automotive accessories

76. QSR Inc. (row_id: 149)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Functional aftermarket accessories for trucks and SUVs

77. Racemark International LLC (row_id: 150)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Manufacturing and R&D engine parts for EV

78. RealTruck (row_id: 151)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive lighting and electronics

79. Rivian Automotive (row_id: 152)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Custom metal components

80. Robert Bosch LLC (row_id: 153)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive powertrain systems

81. SAFT America Inc. (row_id: 154)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Arm and head rests

82. Sejong Georgia LLC (row_id: 155)
    - EV Supply Chain Role: General Automotive
    - Product / Service: NVH parts and interior components

83. Seohan Auto USA (row_id: 156)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Custom made cargo trailers Ben

84. Seoyon E-HWA (row_id: 157)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Custom made cargo trailers Jeff

85. Seoyon E-Hwa Interior Systems (row_id: 158)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Fluid-carrying systems

86. Sewon America Inc. (row_id: 159)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive aftermarket parts

87. Sewon America Inc. (row_id: 160)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Motor vehicle engines and parts

88. Sewon America Inc. (row_id: 161)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Fire truck bodies

89. SHIROKI North America Inc (row_id: 162)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Exhaust and emission systems for trucks, buses, vans and industrial vehicles

90. SK Battery America (row_id: 163)
    - EV Supply Chain Role: Materials
    - Product / Service: Engineered steel systems mounted in motor vehicles

91. SKF USA Inc. (row_id: 164)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Exhaust systems and parts

92. Solvay Specialty Polymers USA LLC (row_id: 165)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive wire harnesses

93. Southern Switches Corp. (row_id: 166)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Commercial truck bodies

94. SRG Global Inc. (row_id: 167)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Products for marine, mobile home, and other industries

95. Stryten Energy (row_id: 168)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Automotive fiber padding

96. Suhner Manufacturing Corp. (row_id: 169)
    - EV Supply Chain Role: General Automotive
    - Product / Service: Truck trailers

Supporting companies/rows: All rows with ""Tier 1/2"" category.
Notes: None.",mistral-small3.2:24b,65536,41332,3983,591855653917,4438882705,59288806636,526494535129
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","Q: Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?
Answer:
- Hollingsworth & Vose Co. (Tier 1/2)
- Honda Development & Manufacturing (Tier 1/2)
- Hyundai & LG Energy Solution (LGES) (Tier 1/2)
- Hyundai Industrial Co. (Tier 1/2)
- Hyundai Motor Group (Tier 1/2)
- Hyundai Transys Georgia Powertrain (Tier 1/2)
- IMMI (Tier 1/2)
- F&P Georgia Manufacturing (Tier 1/2)

Supporting companies/rows:
- Hollingsworth & Vose Co. (row_id: 77)
- Honda Development & Manufacturing (row_id: 78)
- Hyundai & LG Energy Solution (LGES) (row_id: 80)
- Hyundai Industrial Co. (row_id: 81)
- Hyundai Motor Group (row_id: 83)
- Hyundai Transys Georgia Powertrain (row_id: 84)
- IMMI (row_id: 86)
- F&P Georgia Manufacturing (row_id: 53)

Notes: None",mistral-small3.2:24b,65536,41328,252,33920650133,169176527,1384007855,32144753532
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"Q: Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.
Answer:
1. Hitachi Astemo Americas Inc. (row_id: 76) - Hyundai Kia
2. Hyundai Transys Georgia Powertrain (row_id: 84) - Hyundai Kia Rivian
3. Peerless-Winsmith Inc. (row_id: 139) - Multiple OEMs
4. ZF Gainesville LLC (row_id: 203) - null
5. ZF Gainesville LLC (row_id: 204) - null
6. ZF Gainesville LLC (row_id: 205) - null

Supporting companies/rows:
- Hitachi Astemo Americas Inc. (row_id: 76)
- Hyundai Transys Georgia Powertrain (row_id: 84)
- Peerless-Winsmith Inc. (row_id: 139)
- ZF Gainesville LLC (row_id: 203)
- ZF Gainesville LLC (row_id: 204)
- ZF Gainesville LLC (row_id: 205)

Notes: null indicates that the Primary OEMs field is empty.",mistral-small3.2:24b,65536,41327,271,36166063872,179667797,1243017044,34511060709
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","Q: List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.
Answer: Not found in the data.
Supporting companies/rows: None
Notes: None",mistral-small3.2:24b,65536,41327,41,6654329902,165504170,1240324268,5108821366
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Q: Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?
Answer: Superior Essex Inc., Suzuki Manufacturing of America Corp., TCI Powder Coatings, TDK Components USA Inc., TE Connectivity, Teklas USA, Textron Specialized Vehicles, Thermal Ceramics Inc., Thomson Plastics Inc.
Supporting companies/rows:
- Superior Essex Inc. (row_id: 171)
- Suzuki Manufacturing of America Corp. (row_id: 172)
- TCI Powder Coatings (row_id: 173)
- TDK Components USA Inc. (row_id: 174)
- TE Connectivity (row_id: 175)
- Teklas USA (row_id: 176)
- Textron Specialized Vehicles (row_id: 177)
- Thermal Ceramics Inc. (row_id: 178)
- Thomson Plastics Inc. (row_id: 179)
Notes: None.",mistral-small3.2:24b,65536,41326,217,29060737091,164186893,1252084807,27425547404
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Q: What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?
Answer: Novelis Inc. operates in Atlanta, Fulton County with the primary facility type ""Manufacturing Plant"".
Supporting companies/rows: Novelis Inc. (row_id: 52), Novelis Inc. (row_id: 53), Novelis Inc. (row_id: 54)
Notes:",mistral-small3.2:24b,65536,41329,91,13361023552,169668009,1449012137,11566329476
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?","Q: In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?
Answer: Lehigh Technologies Inc. with 520 employees and its EV Supply Chain Role is General Automotive.
Supporting companies/rows: Lehigh Technologies Inc. (row_id: 101)
Notes: None",mistral-small3.2:24b,65536,41329,71,10736230358,166695948,1448999356,8957618214
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Q: Which county has the highest total employment among Tier 1 suppliers only?
Answer: Cobb County
Supporting companies/rows:
- Superior Essex Inc. (row_id: 171)
- Suzuki Manufacturing of America Corp. (row_id: 172)
- TI Fluid Systems (row_id: 180)
- TI Fluid Systems (row_id: 181)
- Tie Down Engineering (row_id: 182)
- TN Americas Holding Inc. (row_id: 183)
- Volvo Cars USA (row_id: 192)
- Wabash National Corp. (row_id: 194)
- Wheelabrator Group Inc. (row_id: 195)
- WIKA USA (row_id: 196)
- Woodbridge Foam Corp. (row_id: 197)
- Yachiyo Manufacturing of America LLC (row_id: 199)
- Yamaha Motor Manufacturing Corp. (row_id: 200)
- Yazaki North America (row_id: 201)
- YKK USA Inc. (row_id: 202)
- ZF Gainesville LLC (row_id: 203)
- ZF Gainesville LLC (row_id: 204)
- ZF Gainesville LLC (row_id: 205)
Notes: Cobb County has the highest total employment among Tier 1 suppliers with 8100 employees.",mistral-small3.2:24b,65536,41322,318,42381977509,172326984,980850795,40977399053
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?","Q: Which county has the highest total employment across all companies, and what is the combined employment in that county?
Answer: Not found in the data.
Supporting companies/rows: Not found in the data.
Notes: The JSONL knowledge base does not contain sufficient information to determine the county with the highest total employment across all companies.",mistral-small3.2:24b,65536,41329,69,10395772863,176250564,1241401691,8812367876
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"Q: Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.
Answer:
1. Superior Essex Inc. (row_id: 171) - Hyundai Motor Group
2. Suzuki Manufacturing of America Corp. (row_id: 172) - Rivian Automotive
3. TCI Powder Coatings (row_id: 173) - Kia Georgia Inc.
4. TDK Components USA Inc. (row_id: 174) - Mercedes-Benz USA LLC
5. TE Connectivity (row_id: 175) - Blue Bird Corp.
6. Teklas USA (row_id: 176) - Yamaha Motor Manufacturing Corp.
7. Textron Specialized Vehicles (row_id: 177) - Textron Specialized Vehicles
8. Thermal Ceramics Inc. (row_id: 178) - SK Battery America
9. Thomson Plastics Inc. (row_id: 179) - Archer Aviation Inc.

Supporting companies/rows:
- row_id: 171
- row_id: 172
- row_id: 173
- row_id: 174
- row_id: 175
- row_id: 176
- row_id: 177
- row_id: 178
- row_id: 179

Notes: None",mistral-small3.2:24b,65536,41328,311,41578467151,181206353,1387000234,39747390547
