question_number,question,golden_answer,model_name,model_response,status,error_message,num_ctx_requested,actual_context_observed_if_available,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration,created_at,prompt_hash,kb_hash,question_hash,response_char_count,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",deepseek-r1:32b,"Answer: There is 1 ""Tier 1/2"" supplier in Georgia. The requested fields are shown in the Evidence table below.

Evidence:
| row_id | Company                     | EV Supply Chain Role | Product / Service                                                                 |
|--------|-----------------------------|----------------------|-----------------------------------------------------------------------------------|
| 10     | Fouts Brothers Fire Equipment | General Automotive   | Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units |

Count: 1

Supporting row_ids: 10",ok,,65536,40010,40010,425,79646598928,8121470470,51473200000,19910389000,2026-06-24T04:19:50.385928271Z,fe9f188c24cbf4dc1d4a6c4c7cd716e67675d68dfa2e6c3ea0497d72dba373a6,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bf4d5d87ff7292f2a45d7266e8bb45e82adaed44e897d486c1dbe6bcab9f1ca0,696,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack",deepseek-r1:32b,"Answer: There are four Georgia companies classified under Battery Cell or Battery Pack roles. The details are listed in the Evidence table below.

Evidence:
| row_id | Company                  | Category   | EV Supply Chain Role |
|--------|--------------------------|------------|-----------------------|
| 35     | Duckyang                 | Tier 2/3   | Battery Cell          |
| 76     | Hitachi Astemo Americas Inc. | Tier 1/2 | Battery Cell         |
| 77     | Hollingsworth & Vose Co. | Tier 1/2   | Battery Pack          |
| 83     | Hyundai Motor Group      | Tier 1/2   | Battery Pack          |

Count: 4

Supporting row_ids: 35, 76, 77, 83",ok,,65536,40006,40006,513,25768935173,188979489,1398942000,24037936000,2026-06-24T04:20:16.220298411Z,9498b04a55c6cbd4210c4ebfd2a045d2c55488f2a09573538a1292c92fbae6ee,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24c5b89d2176cb892a6fbd1f128eceacce8273c79629b3fe83ed54faf7b737e0,652,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Not specified
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",deepseek-r1:32b,"Answer: There are 4 Thermal Management suppliers in Georgia, linked to various Primary OEMs as shown in the Evidence below.

Evidence:
| row_id | Company | EV Supply Chain Role | Primary OEMs |
|---|---|---|---|
| 60 | Lear Corporation | Thermal Management | Multiple OEMs |
| 129 | Novelis Inc. | Thermal Management | Multiple OEMs |
| 203 | ZF Gainesville LLC | Thermal Management | Multiple OEMs |
| 204 | ZF Gainesville LLC | EV thermal management and power electronics | Multiple OEMs |

Count: 4

Supporting row_ids: 60, 129, 203, 204",ok,,65536,40004,40004,537,26857880208,172590905,1408087000,25128230000,2026-06-24T04:20:43.140862772Z,1dcffa66f8a8933b0a97cd7f764d077e462b35c35e9b0fd932de729070e2bf31,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bac8c3daafda218795285cfc62d9e3ce5061c9d1c73749d4525554254e898d87,540,
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",deepseek-r1:32b,"Answer: There is 1 Georgia company classified under Power Electronics or Charging Infrastructure. The requested fields are shown in the Evidence table below.

Evidence:
| row_id | Company                     | EV Supply Chain Role       | Employment |
|--------|-----------------------------|----------------------------|------------|
| 69     | GSC Steel Stamping LLC      | Power Electronics          | 350        |

Count: 1

Supporting row_ids: 69

Notes: Only one company was found in the data with an EV Supply Chain Role of ""Power Electronics"". No companies were found with a role of ""Charging Infrastructure"".",ok,,65536,40004,40004,465,23507185842,171713615,1409641000,21773976000,2026-06-24T04:21:06.709228262Z,fdcf10791dccb9ea7bb8e0045fcd260f9d4b7e60126540867e32fc02369b9c38,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,87a078233d1d5ab225d71ebbbaecd594a6a3a8683c41cbfb5f4d1070d4754e2b,617,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",deepseek-r1:32b,"Answer: There are 10 companies classified as Direct Manufacturers, covering EV Supply Chain Roles such as Vehicle Assembly and Battery Pack. The details are shown in the Evidence table below.

Evidence:
| row_id | Company | Classification Method | EV Supply Chain Role |
|---|---|---|---|
| 95 | Kia Georgia Inc. | Direct Manufacturer | Vehicle Assembly |
| 171 | Superior Essex Inc. | Direct Manufacturer | Vehicle Assembly |
| 172 | Suzuki Manufacturing of America Corp. | Direct Manufacturer | Vehicle Assembly |
| 173 | TCI Powder Coatings | Direct Manufacturer | Vehicle Assembly |
| 174 | TDK Components USA Inc. | Direct Manufacturer | Vehicle Assembly |
| 175 | TE Connectivity | Direct Manufacturer | Vehicle Assembly |
| 176 | Teklas USA | Direct Manufacturer | Vehicle Assembly |
| 177 | Textron Specialized Vehicles | Direct Manufacturer | Vehicle Assembly |
| 178 | Thermal Ceramics Inc. | Direct Manufacturer | Vehicle Assembly |
| 179 | Thomson Plastics Inc. | Direct Manufacturer | Vehicle Assembly |

Count: 10

Supporting row_ids: 95, 171, 172, 173, 174, 175, 176, 177, 178, 179",ok,,65536,40004,40004,746,36783687480,179738574,1413824000,35035583000,2026-06-24T04:21:43.564769454Z,9256dd124fc056de6707410a2b6e84663cb7d1ea1077739fa2e36c03eaaf7dbc,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,e5fe1272d51b1bc8f3825f8259a800a7e90348cb72caf246bea77686d46d21ff,1096,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",deepseek-r1:32b,"Answer: Novelis Inc. operates in Atlanta, Fulton County, Georgia, with two different primary facility types: Manufacturing Plant and Thermal Management.

Evidence:
| row_id | Company          | Location                | Primary Facility Type |
|--------|------------------|-------------------------|-----------------------|
| 128    | Novelis Inc.     | Atlanta, Fulton County  | Manufacturing Plant   |
| 129    | Novelis Inc.     | Atlanta, Fulton County  | Thermal Management    |

Count: 2

Supporting row_ids: 128, 129",ok,,65536,40007,40007,515,25920560547,186387348,1407915000,24178874000,2026-06-24T04:22:09.555311994Z,abb3557002bdca60777646313546a53ff238b8b77d1589ff0183851cf90a85ce,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24a3750ba150d2715b33891fe1bb35c4e66fbf582540b899e77b80c6b4e61dfc,523,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,deepseek-r1:32b,"Answer: In Gwinnett County, Arising Industries Inc. has the highest Employment of 582 and its EV Supply Chain Role is Materials.

Evidence:
| row_id | Company                  | Location                | Employment | EV Supply Chain Role |
|--------|--------------------------|-------------------------|-----------|----------------------|
| 5      | Arising Industries Inc.  | Norcross, Gwinnett County | 582       | Materials            |

Count: 1

Supporting row_ids: 5",ok,,65536,40007,40007,773,38058361725,170566874,1411480000,36321960000,2026-06-24T04:22:47.683286653Z,3ff9f095b81469167fa22910e2a90f7cbe64ec086b44e96e1b3b41cf1bf2b706,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,86d7c40d3a0e0b9d053e285b403cb62acf59eacb1adb2bc794f7982bd50f1b88,472,
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",deepseek-r1:32b,"Answer: Hall County has the highest total Employment among Tier 1 suppliers with a total of 860.

Evidence:
| row_id | Company                          | Category | Location          | Employment |
|--------|----------------------------------|----------|-------------------|------------|
| 1      | JTEKT North America Corp.       | Tier 1   | Pendergrass, Hall County | 860        |

Count: 1

Supporting row_ids: 1",ok,,65536,40000,40000,792,38911111624,182340928,1397118000,37184766000,2026-06-24T04:23:26.654903514Z,ad5039ba32762c63a2c03969f63174df930b23ca0aaea19e26391dff387b53e1,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8ae2a0b0fa4c4a12eb2834606c9af0d82db1456537c25b9eb7de62a84e57c569,416,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Hall County has the highest total employment across all companies: 314452.,deepseek-r1:32b,"Answer: The county with the highest total employment across all companies is Hall County, with a combined employment of **125,267**.

Evidence:
| row_id | Company                          | Location          | Employment |
|--------|----------------------------------|-------------------|------------|
| 1      | JTEKT North America Corp.        | Pendergrass, Hall County | 860       |
| 3      | Grudem                           | Gainesville, Hall County | 807       |
| 204    | ZF Gainesville LLC               | Gainesville, Hall County | 17500     |
| 205    | ZF Gainesville LLC               | Gainesville, Hall County | 106100    |

Count: 4

Supporting row_ids: 1, 3, 204, 205",ok,,65536,40007,40007,2805,134317990691,168497983,1407896000,132594826000,2026-06-24T04:25:41.0376524Z,0cb6509706a0cc1d36b28a3787fb8e594877f333383d5f9abcbb0a0efe0177cd,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,a2f29f31bab063058ba014530d6aa4bfae6213fc3c4e7c83927fe71fe4f2d04a,687,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",deepseek-r1:32b,"Answer: There are 2 Vehicle Assembly facilities in Georgia. The corresponding Primary OEMs and details are listed in the Evidence table below.

Evidence:
| row_id | Company                     | EV Supply Chain Role | Primary OEMs          |
|--------|-----------------------------|----------------------|-----------------------|
| 95     | Kia Georgia Inc.            | Vehicle Assembly     | Club Car LLC         |
| 172    | Suzuki Manufacturing of America Corp. | Vehicle Assembly | Rivian Automotive |

Count: 2

Supporting row_ids: 95, 172",ok,,65536,40005,40005,610,30334388780,174768300,1414058000,28584109000,2026-06-24T04:26:11.447108958Z,83680ecdba64920f90633819fa309ae780838be6a55d790fdd026c4e6740a690,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,6ae576e204e49630a76a67c72578fbde94e4cf05a7b5adfa33cca6536760c626,545,
11,Identify the primary products and services associated with Sewon America Inc. across its different operational sites in Georgia.,"Sewon America Inc. has three operating entries in Georgia and all three are located in LaGrange, Troup County, Georgia.
Sewon America Inc. | Product: Motor vehicle engines and parts
Sewon America Inc. | Product: Fire truck bodies
Sewon America Inc. | Product: Automotive aftermarket parts",deepseek-r1:32b,"Answer: Sewon America Inc. operates multiple sites in Georgia with distinct product focuses. The primary products and services are listed in the Evidence table below.

Evidence:
| row_id | Company                | Location                  | Product / Service                          |
|--------|------------------------|---------------------------|--------------------------------------------|
| 148    | Sewon America Inc.     | LaGrange, Troup County   | Automotive aftermarket parts               |
| 151    | Sewon America Inc.     | LaGrange, Troup County   | Motor vehicle engines and parts            |
| 160    | Sewon America Inc.     | LaGrange, Troup County   | Fire truck bodies                          |

Count: 3

Supporting row_ids: 148, 151, 160",ok,,65536,40008,40008,425,21654427060,178160941,1406628000,19926420000,2026-06-24T04:26:33.17640421Z,22f1cf101939c1bdff790584884ef12e4da8c3447736c690c0f627de6219e5f8,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8bd668b48fce0f7e4e99a03899ca1ea0e25bee39b51bad2a1e0034b7c4eaf9a8,764,
