question_number,question_type,judge_recommended,gold_count,gold_company_count,mean_entity_f1,models_with_count_match,models_scored_for_count,best_model_by_entity_f1,question
30,aggregation_ranking_judge_recommended,True,10,10,0.1,2,7,direct_context::gemma3:27b,"Top 10 Georgia companies based on employment size that supply both General Automotive and EV-specific components, indicating transition readiness?"
41,lookup,False,2,2,0.1429,1,7,direct_context::qwen3.6:35b-a3b,"For an international battery materials company seeking a Georgia location, which areas have existing chemical manufacturing infrastructure?"
39,list_or_lookup_judge_recommended,True,1,1,0.2619,4,7,direct_context::qwen3:30b,"Which Georgia supplier appears to play an innovation-stage role through research, development, or prototyping activity?"
7,aggregation_ranking,False,,1,0.2857,0,0,batchwise_map_reduce::gemma3:12b,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?"
8,aggregation_ranking,False,,0,0.293,0,0,direct_context::mistral-small3.2:24b,Which county have the highest total Employment among Tier 1 suppliers only?
32,list_or_lookup,False,1,1,0.3048,4,7,direct_context::qwen3.6:35b-a3b,"Identify Georgia companies whose product descriptions include 'high-voltage', 'DC-to-DC', 'inverter', or 'motor controller' — these signal EV powertrain electronics growth."
25,count_judge_recommended,True,6,6,0.3406,2,7,direct_context::qwen3.6:35b-a3b,"For Hyundai Metaplant, how many of its Georgia-based EV component suppliers have fewer than 200 employees, flagging potential capacity fragility?"
23,list_or_lookup_judge_recommended,True,28,25,0.3693,1,7,direct_context::qwen3.6:35b-a3b,"Which EV Supply Chain Roles in Georgia are served by only a single company, creating a single-point-of-failure risk for the state's EV ecosystem?"
26,list_or_lookup,False,2,2,0.3934,2,7,direct_context::qwen3.6:35b-a3b,Identify Georgia Tier 2/3 suppliers that are EV Relevant and classified as General Automotive.
9,aggregation_ranking,False,,0,0.398,0,0,direct_context::deepseek-r1:32b,"Which county has the highest total employment across all companies, and what is the combined employment in that county?"
42,list_or_lookup_judge_recommended,True,1,1,0.4,4,7,direct_context::qwen3.6:35b-a3b,"Which Georgia areas have R&D facility types in the automotive sector, suggesting innovation infrastructure suitable for EV technology development centers?"
