model,kind,question_number,qtype,needs_human,gold_count,status,gradable,precision,recall,f1,pred_count,count_error,missing,extra,hallucinated_mentions,scalar_ok
qwen3.6_35b-a3b (full-ctx),main,1,list,False,18,answered,True,1.0,1.0,1.0,18,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,2,multi_filter,False,6,answered,True,0.857,1.0,0.923,7,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,3,list,False,4,answered,True,0.571,1.0,0.727,7,,0,3,,
qwen3.6_35b-a3b (full-ctx),main,4,list,False,2,answered,True,1.0,1.0,1.0,2,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,5,list,True,0,needs_human,False,,,,10,,,,,
qwen3.6_35b-a3b (full-ctx),main,6,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,7,aggregation,False,1,answered,True,1.0,1.0,1.0,1,0,0,0,,
qwen3.6_35b-a3b (full-ctx),main,8,aggregation,False,0,answered,True,,,,8,,,,,True
qwen3.6_35b-a3b (full-ctx),main,9,aggregation,False,0,answered,True,,,,8,,,,,True
qwen3.6_35b-a3b (full-ctx),main,10,list,False,10,answered,True,0.529,0.9,0.667,17,,1,8,,
qwen3.6_35b-a3b (full-ctx),main,11,lookup,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,12,multi_filter,False,37,answered,True,1.0,0.081,0.15,3,,34,0,,
qwen3.6_35b-a3b (full-ctx),main,13,multi_filter,False,6,answered,True,0.833,0.833,0.833,6,,1,1,,
qwen3.6_35b-a3b (full-ctx),main,14,list,False,3,answered,True,1.0,1.0,1.0,3,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,15,list,True,0,needs_human,False,,,,4,,,,,
qwen3.6_35b-a3b (full-ctx),main,16,multi_filter,True,0,needs_human,False,,,,3,,,,,
qwen3.6_35b-a3b (full-ctx),main,17,list,True,0,needs_human,False,,,,3,,,,,
qwen3.6_35b-a3b (full-ctx),main,18,multi_filter,False,0,answered,True,0.0,0.0,0.0,1,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,19,list,False,1,answered,True,1.0,1.0,1.0,1,,0,0,,
qwen3.6_35b-a3b (full-ctx),main,20,multi_filter,True,0,needs_human,False,,,,0,,,,,
qwen3.6_35b-a3b (full-ctx),main,21,multi_filter,True,0,needs_human,False,,,,14,,,,,
qwen3.6_35b-a3b (full-ctx),main,22,list,True,0,needs_human,False,,,,7,,,,,
qwen3.6_35b-a3b (full-ctx),main,23,list,False,1,answered,True,0.5,1.0,0.667,2,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,24,multi_filter,True,0,needs_human,False,,,,7,,,,,
qwen3.6_35b-a3b (full-ctx),main,25,multi_filter,False,8,answered,True,0.8,0.5,0.615,5,,4,1,,
qwen3.6_35b-a3b (full-ctx),main,26,multi_filter,False,2,answered,True,0.667,1.0,0.8,3,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,27,aggregation_rank,True,0,needs_human,False,,,,2,,,,,
qwen3.6_35b-a3b (full-ctx),main,28,interpretation,True,0,needs_human,False,,,,7,,,,,
qwen3.6_35b-a3b (full-ctx),main,29,count,True,0,needs_human,False,,,,0,,,,,
qwen3.6_35b-a3b (full-ctx),main,30,interpretation,True,0,needs_human,False,,,,2,,,,,
qwen3.6_35b-a3b (full-ctx),main,31,multi_filter,False,11,answered,True,0.917,1.0,0.957,12,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,32,multi_filter,False,3,answered,True,0.75,1.0,0.857,4,,0,1,,
qwen3.6_35b-a3b (full-ctx),main,33,list,False,25,answered,True,1.0,0.76,0.864,19,,6,0,,
