question_number,question,golden_answer,model_name,model_response,status,error_message,num_ctx_requested,actual_context_observed_if_available,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration,created_at,prompt_hash,kb_hash,question_hash,response_char_count,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",qwen3.6:35b-a3b,"Answer: There are 18 Tier 1/2 suppliers in Georgia. Their EV Supply Chain Roles and Products/Services are detailed in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Product / Service |
|---|---|---|---|
| 10 | Fouts Brothers Fire Equipment | General Automotive | Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units |
| 53 | F&P Georgia Manufacturing | Battery Pack | Lithium-ion battery recycler and raw materials provider |
| 75 | Hitachi Astemo | General Automotive | Car audio systems |
| 76 | Hitachi Astemo Americas Inc. | Battery Cell | Battery cells for electric mobility |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Lithium-ion battery materials |
| 78 | Honda Development & Manufacturing | Battery Cell | Battery cells for electric mobility |
| 79 | Hwashin | General Automotive | Modules and storage systems |
| 80 | Hyundai & LG Energy Solution (LGES) | General Automotive | Storage batteries |
| 83 | Hyundai Motor Group | Battery Pack | Battery parts for electric vehicles |
| 84 | Hyundai Transys Georgia Powertrain | Thermal Management | Electrical heaters, control units, and actuators |
| 86 | IMMI | Battery Pack | Battery electrolyte |
| 87 | IMS Gear Georgia Inc. | General Automotive | Car audio systems |
| 89 | JAC Products Inc. | General Automotive | Switches, resistors and related products |
| 93 | Hyundai Industrial Co. | General Automotive | Automotive batteries |
| 99 | Hyundai MOBIS (Georgia) | General Automotive | Capacitors, electronic automotive components |
| 130 | Hyundai Transys Georgia Seating Systems | General Automotive | Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts |
| 145 | Inalfa Roof Systems Inc. | General Automotive | Automotive electronic safety systems |
| 165 | Jefferson Southern Corp. | General Automotive | High current switches and resistors for automotive HVAC systems |

Count: 18

Supporting row_ids: 10, 53, 75, 76, 77, 78, 79, 80, 83, 84, 86, 87, 89, 93, 99, 130, 145, 165

Notes: None.",ok,,65536,40276,40276,4903,64359903249,10543353889,10357595000,43316238000,2026-06-24T02:52:13.920649523Z,fe9f188c24cbf4dc1d4a6c4c7cd716e67675d68dfa2e6c3ea0497d72dba373a6,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bf4d5d87ff7292f2a45d7266e8bb45e82adaed44e897d486c1dbe6bcab9f1ca0,2161,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack",qwen3.6:35b-a3b,"Answer: There are 6 Georgia companies classified under Battery Cell or Battery Pack roles in the provided data. All six are assigned to the Tier 1/2 category. The complete list of matching companies, their specific roles, and tiers is detailed in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Category |
|---|---|---|---|
| 53 | F&P Georgia Manufacturing | Battery Pack | Tier 1/2 |
| 76 | Hitachi Astemo Americas Inc. | Battery Cell | Tier 1/2 |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Tier 1/2 |
| 78 | Honda Development & Manufacturing | Battery Cell | Tier 1/2 |
| 83 | Hyundai Motor Group | Battery Pack | Tier 1/2 |
| 86 | IMMI | Battery Pack | Tier 1/2 |

Count: 6

Supporting row_ids: 53, 76, 77, 78, 83, 86

Notes: All matching records share the exact same tier classification (Tier 1/2). No other rows in the knowledge base contain an EV Supply Chain Role of ""Battery Cell"" or ""Battery Pack"".",ok,,65536,40272,40272,3247,30152685075,320741893,693251000,28986941000,2026-06-24T02:52:44.142995369Z,9498b04a55c6cbd4210c4ebfd2a045d2c55488f2a09573538a1292c92fbae6ee,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24c5b89d2176cb892a6fbd1f128eceacce8273c79629b3fe83ed54faf7b737e0,946,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Not specified
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",qwen3.6:35b-a3b,"Answer: There are 4 Thermal Management suppliers in Georgia listed in the data. The companies and their linked Primary OEMs are detailed in the evidence table below.

Evidence:
| row_id | Company | Primary OEMs |
|---|---|---|
| 60 | Freudenberg-NOK | Multiple OEMs |
| 84 | Hyundai Transys Georgia Powertrain | Hyundai Kia Rivian |
| 129 | Novelis Inc. | Multiple OEMs |
| 139 | Peerless-Winsmith Inc. | Multiple OEMs |

Count: 4

Supporting row_ids: 60, 84, 129, 139

Notes: None.",ok,,65536,40270,40270,2206,20728673848,336826513,685664000,19553580000,2026-06-24T02:53:04.946079934Z,1dcffa66f8a8933b0a97cd7f764d077e462b35c35e9b0fd932de729070e2bf31,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bac8c3daafda218795285cfc62d9e3ce5061c9d1c73749d4525554254e898d87,482,
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",qwen3.6:35b-a3b,"Answer: There are 2 companies in Georgia classified under Power Electronics or Charging Infrastructure. Their names and employment sizes are provided in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Employment |
|---|---|---|---|
| 69 | GSC Steel Stamping LLC | Power Electronics | 350 |
| 119 | Morgan Corp. | Charging Infrastructure | 320 |

Count: 2

Supporting row_ids: 69, 119

Notes: Filtered exactly on the EV Supply Chain Role field for ""Power Electronics"" and ""Charging Infrastructure"". No other records in the KB match these exact classifications.",ok,,65536,40270,40270,3465,31666866571,317748191,682588000,30520993000,2026-06-24T02:53:36.684914596Z,fdcf10791dccb9ea7bb8e0045fcd260f9d4b7e60126540867e32fc02369b9c38,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,87a078233d1d5ab225d71ebbbaecd594a6a3a8683c41cbfb5f4d1070d4754e2b,592,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",qwen3.6:35b-a3b,"Answer: There are 11 companies in the dataset classified as Direct Manufacturer. Their corresponding EV Supply Chain Roles are listed in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role |
|---|---|---|
| 95 | Kia Georgia Inc. | Vehicle Assembly |
| 116 | Minebea AccessSolutions USA Inc. | General Automotive |
| 171 | Superior Essex Inc. | Vehicle Assembly |
| 172 | Suzuki Manufacturing of America Corp. | Vehicle Assembly |
| 173 | TCI Powder Coatings | Vehicle Assembly |
| 174 | TDK Components USA Inc. | Vehicle Assembly |
| 175 | TE Connectivity | Vehicle Assembly |
| 176 | Teklas USA | Vehicle Assembly |
| 177 | Textron Specialized Vehicles | Vehicle Assembly |
| 178 | Thermal Ceramics Inc. | Vehicle Assembly |
| 179 | Thomson Plastics Inc. | Vehicle Assembly |

Count: 11

Supporting row_ids: 95, 116, 171, 172, 173, 174, 175, 176, 177, 178, 179

Notes: All matching records were scanned in row_id order. One company (Minebea AccessSolutions USA Inc.) covers General Automotive, while the remaining ten cover Vehicle Assembly. No additional rows in the dataset use the exact ""Direct Manufacturer"" classification method.",ok,,65536,40270,40270,2131,20210232100,332080205,700991000,19028329000,2026-06-24T02:53:56.95836326Z,9256dd124fc056de6707410a2b6e84663cb7d1ea1077739fa2e36c03eaaf7dbc,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,e5fe1272d51b1bc8f3825f8259a800a7e90348cb72caf246bea77686d46d21ff,1162,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",qwen3.6:35b-a3b,"Answer: Novelis Inc. operates in Atlanta, Fulton County, with all three recorded sites classified as Manufacturing Plants. The specific details for each location are provided in the Evidence table below.

Evidence:
| row_id | Company | Location | Primary Facility Type |
|---|---|---|---|
| 64 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 128 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 129 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |

Count: 3
Supporting row_ids: 64, 128, 129
Notes: All three records for Novelis Inc. share the same location and facility type in the provided data.",ok,,65536,40273,40273,1532,14919705054,335966777,704578000,13719829000,2026-06-24T02:54:11.950325973Z,abb3557002bdca60777646313546a53ff238b8b77d1589ff0183851cf90a85ce,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24a3750ba150d2715b33891fe1bb35c4e66fbf582540b899e77b80c6b4e61dfc,646,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,qwen3.6:35b-a3b,"Answer: In Gwinnett County, Arising Industries Inc. has the highest employment with 582 employees, and its EV Supply Chain Role is General Automotive.

Evidence:
| row_id | Company | Employment | EV Supply Chain Role |
|---|---|---|---|
| 5 | Arising Industries Inc. | 582 | General Automotive |
| 9 | FOX Factory | 345 | General Automotive |
| 29 | Big Tex Trailer Manufacturing Inc. | 280 | General Automotive |
| 37 | MAT Heavy Duty | 400 | General Automotive |
| 43 | Michelin Tread Technologies | 400 | General Automotive |
| 81 | Daesol Material Georgia, LLC | 90 | General Automotive |
| 87 | IMS Gear Georgia Inc. | 100 | General Automotive |
| 101 | Lehigh Technologies Inc. | 520 | General Automotive |
| 114 | DeKalb Tool & Die Inc. | 70 | General Automotive |
| 135 | Pak-Lite Inc. | 180 | General Automotive |

Count: 10

Supporting row_ids: 5, 9, 29, 37, 43, 81, 87, 101, 114, 135

Notes: None.",ok,,65536,40273,40273,3282,30607972823,335977151,694330000,29428382000,2026-06-24T02:54:42.610583613Z,3ff9f095b81469167fa22910e2a90f7cbe64ec086b44e96e1b3b41cf1bf2b706,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,86d7c40d3a0e0b9d053e285b403cb62acf59eacb1adb2bc794f7982bd50f1b88,908,
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",qwen3.6:35b-a3b,"Answer: Troup County has the highest total employment among Tier 1 suppliers, with a combined total of 2,360 employees across eight facilities.

Evidence:
| row_id | Company | Location | Employment |
|---|---|---|---|
| 1 | JTEKT North America Corp. | Pendergrass, Hall County | 860 |
| 2 | Kautex Inc. | Lavonia, Rabun County | 800 |
| 8 | Lark United Manufacturing Inc. | Dublin, Johnson County | 700 |
| 24 | Lund International Inc. | Madison, Morgan County | 500 |
| 27 | Mack Trucks | Dublin, Lowndes County | 500 |
| 28 | Mando America Corp. | Hogansville, Meriwether County | 460 |
| 37 | MAT Heavy Duty | Suwanee, Gwinnett County | 400 |
| 40 | Mercedes-Benz USA LLC | Sandy Springs, Fulton County | 400 |
| 43 | Michelin Tread Technologies | Lawrenceville, Gwinnett County | 400 |
| 45 | Milliken & Co./Valway Plant | LaGrange, Troup County | 400 |
| 46 | Mobis Alabama LLC | West Point, Troup County | 350 |
| 57 | Murata Electronics North America Inc. | Smyrna, Fulton County | 310 |
| 62 | Neaton Rome Inc. | Rome, Cobb County | 300 |
| 64 | Novelis Inc. | Atlanta, Fulton County | 260 |
| 88 | NVH Korea | Locust Grove, Henry County | 200 |
| 90 | Oneda Corp. | Gainesville, Hall County | 200 |
| 91 | Jefferson Southern Corporation | Commerce, Forsyth County | 900 |
| 92 | Joon Georgia, Inc. | West Point, Chattahoochee County | 900 |
| 96 | KTX America Corporation | LaGrange, Meriwether County | 740 |
| 97 | Kumho Tire USA Inc. | Macon, Bibb County | 730 |
| 98 | Kyungshin America Corp. | West Point, Troup County | 700 |
| 100 | Lear Corporation | Hammond Industrial Park, Troup County | 590 |
| 101 | Lehigh Technologies Inc. | Tucker, Gwinnett County | 520 |
| 102 | Linde + Wiemann | Dublin, Laurens County | 515 |
| 104 | Lund International Inc./Ventshade Division | Madison, Morgan County | 500 |
| 105 | Lyle Industries Inc. | Dawsonville, Dawson County | 500 |
| 106 | Lyle Industries Inc. | Dawsonville, Dawson County | 500 |
| 108 | Magna International | Carrollton, Carroll County | 500 |
| 109 | Perkins Small Engines LLC | Griffin, Spalding County | 157 |
| 110 | Master Craft Engineering Inc. | Lavonia, Franklin County | 402 |
| 112 | Maxxis International USA | Suwanee, Clayton County | 400 |
| 113 | Peterson Spring | Athens, Clarke County | 150 |
| 115 | PIOLAX Corp. | Canton, Cherokee County | 130 |
| 117 | Pirelli Tire North America LLC | Albany, Dougherty County | 130 |
| 118 | MollerTech LLC | Dalton, Murray County | 350 |
| 119 | Morgan Corp. | Lawrenceville, Gwinnett County | 320 |
| 121 | Porsche Cars North America Inc. | Atlanta, Fulton County | 125 |
| 122 | Nidec Elesys Americas Corp. | Suwanee, Forsyth County | 300 |
| 123 | NIFCO KTW America Corp. | Toccoa, Franklin County | 300 |
| 124 | Nile Automotive | Cumming, Forsyth County | 300 |
| 125 | Nisshinbo Automotive Manufacturing Inc. | Covington, Newton County | 300 |
| 126 | Nivel Parts & Manufacturing Co. LLC | Cairo, Grady County | 275 |
| 127 | Propex Operating Co. LLC | Pooler, Bryan County | 120 |
| 128 | Novelis Inc. | Atlanta, Fulton County | 205 |
| 129 | Novelis Inc. | Atlanta, Fulton County | 200 |
| 131 | RealTruck | Peachtree City, Walker County | 110 |
| 132 | OTR Wheel Engineering Inc. | Rome, Floyd County | 200 |
| 133 | Paccar | Morrow, Clayton County | 200 |
| 134 | PAI Industries Inc. | Mableton, Cobb County | 198 |
| 135 | Pak-Lite Inc. | Suwanee, Gwinnett County | 180 |
| 136 | Panasonic Automotive Systems Co. | Peachtree City, Fayette County | 180 |
| 137 | Panasonic Automotive Systems Co. | Peachtree City, Fayette County | 175 |
| 138 | Panduit Corp. | Cumming, Forsyth County | 170 |
| 139 | Peerless-Winsmith Inc. | Flowery Branch, Hall County | 160 |
| 142 | PHA Body Systems LLC | Bloomingdale, Bryan County | 145 |
| 143 | Piedmont Automotive Products Inc. | Clarkesville, Habersham County | 140 |
| 144 | Robert Bosch LLC | Flowery Branch, Forsyth County | 100 |
| 147 | PPG Industries Inc. | Calhoun, Whitfield County | 120 |
| 148 | Sewon America Inc. | LaGrange, Troup County | 80 |
| 149 | QSR Inc. | LaGrange, Clayton County | 120 |
| 150 | Racemark International LLC | Gray, Jones County | 120 |
| 151 | Sewon America Inc. | LaGrange, Troup County | 75 |
| 152 | Rivian Automotive | Atlanta, Fulton County | 105 |
| 153 | SHIROKI North America Inc | LaGrange, Clayton County | 75 |
| 154 | SAFT America Inc. | Cataula, Harris County | 100 |
| 155 | Sejong Georgia LLC | Jefferson, Barrow County | 90 |
| 156 | Seohan Auto USA | LaGrange, Lamar County | 85 |
| 157 | Seoyon E-HWA | West Point, Troup County | 85 |
| 158 | Seoyon E-Hwa Interior Systems | West Point, Troup County | 80 |
| 159 | Solvay Specialty Polymers USA LLC | Augusta, Elbert County | 70 |
| 161 | Sewon America Inc. | LaGrange, Troup County | 75 |
| 163 | SK Battery America | Ellabell, Bryan County | 75 |
| 164 | SKF USA Inc. | Ringgold, Catoosa County | 70 |
| 166 | Southern Switches Corp. | Dahlonega, Dawson County | 68 |
| 167 | SRG Global Inc. | Covington, Newton County | 60 |
| 168 | Stryten Energy | Alpharetta, Forsyth County | 50 |
| 169 | Suhner Manufacturing Corp. | Rome, Floyd County | 50 |

Count: 68

Supporting row_ids: 1, 2, 8, 24, 27, 28, 37, 40, 43, 45, 46, 57, 62, 64, 88, 90, 91, 92, 96, 97, 98, 100, 101, 102, 104, 105, 106, 108, 109, 110, 112, 113, 115, 117, 118, 119, 121, 122, 123, 124, 125, 126, 127, 128, 129, 131, 132, 133, 134, 135, 136, 137, 138, 139, 142, 143, 144, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 161, 163, 164, 166, 167, 168, 169

Notes: Employment totals were aggregated by extracting the county from the `Location` field for each exact `Tier 1` match. Troup County leads with 2,360 employees (from rows 45, 46, 98, 100, 148, 151, 157, 158). Gwinnett and Forsyth counties tied for second place with 1,820 each.",ok,,65536,40266,40266,13054,118645014152,335538738,698827000,117447931000,2026-06-24T02:56:41.323444525Z,ad5039ba32762c63a2c03969f63174df930b23ca0aaea19e26391dff387b53e1,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8ae2a0b0fa4c4a12eb2834606c9af0d82db1456537c25b9eb7de62a84e57c569,5811,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Hall County has the highest total employment across all companies: 314452.,qwen3.6:35b-a3b,"Answer: Hall County has the highest total employment across all companies in the dataset, with a combined total of 314,452 employees. This figure was derived by summing the Employment values for every record located in Hall County.

Evidence:
| row_id | Company | Location | Employment |
|---|---|---|---|
| 1 | JTEKT North America Corp. | Pendergrass, Hall County | 860 |
| 3 | Grudem | Gainesville, Hall County | 807 |
| 35 | Duckyang | Braselton, Hall County | 250 |
| 42 | Haering Precision USA LP | Buford, Hall County | 200 |
| 70 | Denso Manufacturing Georgia | Pendergrass, Hall County | 105 |
| 71 | Haering Precision USA LP | Buford, Hall County | 170 |
| 90 | Oneda Corp. | Gainesville, Hall County | 200 |
| 139 | Peerless-Winsmith Inc. | Flowery Branch, Hall County | 160 |
| 184 | Toyota Industries Group (TACG-TICA) | Pendergrass, Hall County | 18100 |
| 203 | ZF Gainesville LLC | Gainesville, Hall County | 170000 |
| 204 | ZF Gainesville LLC | Gainesville, Hall County | 17500 |
| 205 | ZF Gainesville LLC | Gainesville, Hall County | 106100 |

Count: 12

Supporting row_ids: 1, 3, 35, 42, 70, 71, 90, 139, 184, 203, 204, 205

Notes: Employment values were summed exactly as provided in the KB. Hall County's total significantly exceeds the next highest counties (Spalding County at 232,149 and Cobb County at 209,339).",ok,,65536,40273,40273,10062,90983777373,329983574,696887000,89794391000,2026-06-24T02:58:12.375702838Z,0cb6509706a0cc1d36b28a3787fb8e594877f333383d5f9abcbb0a0efe0177cd,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,a2f29f31bab063058ba014530d6aa4bfae6213fc3c4e7c83927fe71fe4f2d04a,1337,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",qwen3.6:35b-a3b,"Answer: Based on the provided data, there are 10 Vehicle Assembly facilities in Georgia. The corresponding Primary OEMs for each facility are listed in the Evidence table below.

Evidence:
| row_id | Company | Primary OEMs |
|---|---|---|
| 95 | Kia Georgia Inc. | Club Car LLC |
| 171 | Superior Essex Inc. | Hyundai Motor Group |
| 172 | Suzuki Manufacturing of America Corp. | Rivian Automotive |
| 173 | TCI Powder Coatings | Kia Georgia Inc. |
| 174 | TDK Components USA Inc. | Mercedes-Benz USA LLC |
| 175 | TE Connectivity | Blue Bird Corp. |
| 176 | Teklas USA | Yamaha Motor Manufacturing Corp. |
| 177 | Textron Specialized Vehicles | Textron Specialized Vehicles |
| 178 | Thermal Ceramics Inc. | SK Battery America |
| 179 | Thomson Plastics Inc. | Archer Aviation Inc. |

Count: 10

Supporting row_ids: 95, 171, 172, 173, 174, 175, 176, 177, 178, 179

Notes: None.",ok,,65536,40271,40271,2919,27391738746,361627454,702622000,26156400000,2026-06-24T02:58:39.842275204Z,83680ecdba64920f90633819fa309ae780838be6a55d790fdd026c4e6740a690,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,6ae576e204e49630a76a67c72578fbde94e4cf05a7b5adfa33cca6536760c626,878,
