judge_model,arm,candidate_model,question_number,question_type,judge_recommended,status,faithfulness,completeness,correctness,judge_total,hallucinated_company,needs_human_review,notes,raw_judge_response,prompt_eval_count,eval_count
gpt-oss:120b,direct_context,deepseek-r1:32b,1,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer claims only one Tier 1/2 supplier exists and lists row_id 10, but the knowledge base contains many Tier 1/2 suppliers.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer claims only one Tier 1/2 supplier exists and lists row_id 10, but the knowledge base contains many Tier 1/2 suppliers.""
}",34430,853
gpt-oss:120b,direct_context,deepseek-r1:32b,2,list_or_lookup,False,ok,0,0,1,1,False,False,"The answer omits several Georgia companies with Battery Cell or Pack roles present in the KB, making it incomplete and inaccurate.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits several Georgia companies with Battery Cell or Pack roles present in the KB, making it incomplete and inaccurate.""
}",34477,754
gpt-oss:120b,direct_context,deepseek-r1:32b,3,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer misidentifies companies, omits several Thermal Management suppliers, and provides unsupported claims.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer misidentifies companies, omits several Thermal Management suppliers, and provides unsupported claims.""
}",34448,1036
gpt-oss:120b,direct_context,deepseek-r1:32b,4,list_or_lookup,False,ok,0,0,0,0,False,False,The answer omits at least one relevant company (Morgan Corp. with Charging Infrastructure) and misstates that only one company matches the criteria.,"{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer omits at least one relevant company (Morgan Corp. with Charging Infrastructure) and misstates that only one company matches the criteria.""
}",34431,822
gpt-oss:120b,direct_context,deepseek-r1:32b,5,list_multi_filter,False,ok,2,2,2,6,False,False,Answer correctly lists all Direct Manufacturer companies and their EV Supply Chain Role (Vehicle Assembly) as per the knowledge base.,"{
  ""faithfulness"": 2,
  ""completeness"": 2,
  ""correctness"": 2,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer correctly lists all Direct Manufacturer companies and their EV Supply Chain Role (Vehicle Assembly) as per the knowledge base.""
}",34563,689
gpt-oss:120b,direct_context,deepseek-r1:32b,6,list_or_lookup,False,ok,0,1,0,1,False,False,"The answer incorrectly lists ""Thermal Management"" as a primary facility type, which is not present in the KB; only ""Manufacturing Plant"" appears.","{
  ""faithfulness"": 0,
  ""completeness"": 1,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly lists \""Thermal Management\"" as a primary facility type, which is not present in the KB; only \""Manufacturing Plant\"" appears.""
}",34426,739
gpt-oss:120b,direct_context,deepseek-r1:32b,7,aggregation_ranking,False,ok,0,0,0,0,False,False,"The answer incorrectly identifies Arising Industries Inc. as the highest employer and misstates its EV role; higher‑employment companies like WIKA USA (250,000) or SungEel Recycling Park Georgia (650) exist in Gwinnett County.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly identifies Arising Industries Inc. as the highest employer and misstates its EV role; higher‑employment companies like WIKA USA (250,000) or SungEel Recycling Park Georgia (650) exist in Gwinnett County.""
}",34414,846
gpt-oss:120b,direct_context,deepseek-r1:32b,8,aggregation_ranking,False,ok,0,0,0,0,False,False,"The answer incorrectly identifies Hall County as highest with employment 860, ignoring many Tier 1 entries; the correct county is Forsyth with total employment ~1820.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly identifies Hall County as highest with employment 860, ignoring many Tier 1 entries; the correct county is Forsyth with total employment ~1820.""
}",34398,5807
gpt-oss:120b,direct_context,deepseek-r1:32b,9,aggregation_ranking,False,ok,0,1,1,2,False,False,"Answer omits several Hall County entries, giving an incorrect total employment figure.","{
  ""faithfulness"": 0,
  ""completeness"": 1,
  ""correctness"": 1,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""Answer omits several Hall County entries, giving an incorrect total employment figure.""
}",34471,1569
gpt-oss:120b,direct_context,deepseek-r1:32b,10,list_multi_filter,False,ok,0,0,0,0,False,False,"The answer incorrectly states there are only two vehicle assembly facilities, omitting many entries in the KB and thus is neither faithful nor complete.","{
  ""faithfulness"": 0,
  ""completeness"": 0,
  ""correctness"": 0,
  ""hallucinated_company"": false,
  ""needs_human_review"": false,
  ""notes"": ""The answer incorrectly states there are only two vehicle assembly facilities, omitting many entries in the KB and thus is neither faithful nor complete.""
}",34422,571
