arm,model_name,question_number,question_type,judge_recommended,context_rows,context_basis,context_truncated,factual_faithfulness,completeness,correctness,evidence_grounding,company_grounding,usefulness,deepeval_mean,status,judge_seconds,factual_faithfulness_reason,completeness_reason,correctness_reason,evidence_grounding_reason,company_grounding_reason,usefulness_reason
batchwise_map_reduce,gemma3:12b,1,list_multi_filter,False,23,supporting+gold,False,0.3,0.1,0.1,0.9,1.0,0.5,0.4833,ok,51.2,"The answer lists many companies with row_ids that are not Tier 1/2 (e.g., row_id 95 is an OEM, row_ids 96‑98 are Tier 1 only) and therefore violates the query’s filter. It also claims there are 17 suppliers while actually providing 22 supported rows, a count unsupported by the context. Although the role and product details for the listed row_ids match the context, the inclusion of incorrect categories and the inaccurate total count make most claims unsupported.","The response deviates significantly from the gold answer: it lists 22 companies instead of the expected 18, includes several extra firms not in the gold list, and omits at least one required company (Inalfa Roof Systems). Required fields such as role and product are present for many entries, but the mismatched count and missing/extra items constitute a major failure to meet the expected output.","The actual output contradicts the gold answer on multiple facts: it reports an incorrect total (claims 17 then lists 22 entries vs expected 18), includes companies that are not Tier 1/2 in Georgia (e.g., Kia Georgia Inc., KTX America, Kumho Tire) and omits a required Tier 1/2 supplier (Inalfa Roof Systems). These mismatches violate steps 1‑3, resulting in a very low alignment score.","All cited companies and their row_id references exactly match entries in the provided context, and the evidence table aligns perfectly, showing traceable and consistent data. The only shortcoming is the mismatch between the opening claim of ""17"" suppliers and the actual list of 22 rows, which slightly detracts from perfect alignment.","All 22 companies listed in the actual output appear verbatim in the provided context rows, so every asserted company is grounded; no hallucinated entries were found.","The response does present the requested list of Georgia Tier 1/2 suppliers with their roles and products, using a clear bullet format and an evidence table, but it is overly verbose and contains contradictions (it first claims there are 17 suppliers then later reports a count of 22). The rambling structure and inconsistency reduce communication quality despite being generally on‑topic."
batchwise_map_reduce,gemma3:12b,2,list_or_lookup,False,6,supporting+gold,False,1.0,0.2,1.0,1.0,1.0,1.0,0.8667,ok,29.07,"All six companies listed are present in the context with Georgia locations, Battery Cell or Battery Pack roles, and Category ""Tier 1/2""; the count and tier assignments exactly match the provided rows, so every factual claim is supported.","The answer includes all six Georgia companies and correct tier information, matching the gold list, but it omits the required role designation (Battery Cell or Battery Pack) for each company that appears in the expected output. This omission of a key field leads to a heavy penalty.","The actual output correctly identifies all six Georgia companies, matches the tier assignments, and provides the correct count, aligning with the expected answer and context. No contradictory facts are present; although it does not repeat each company's role explicitly, stating they are classified under Battery Cell or Battery Pack is acceptable vague phrasing.","All six listed companies appear in the provided context with the exact same row_ids, roles (Battery Cell or Battery Pack), and Tier 1/2 categories, so the evidence table is fully consistent and traceable to the context.","The actual output lists six companies (F&P Georgia Manufacturing, Hitachi Astemo Americas Inc., Hollingsworth & Vose Co., Honda Development & Manufacturing, IMMI, Hyundai Motor Group) and each of these appears exactly in the provided context rows, so no hallucinated companies are present.","The response directly answers the question with a clear list of Georgia companies classified under Battery Cell or Battery Pack roles and their tier assignments, presenting the result first and supporting it with a well‑formatted evidence table; it is concise and well‑structured without rambling."
batchwise_map_reduce,gemma3:12b,3,list_multi_filter,False,10,supporting+gold,False,1.0,0.0,0.1,1.0,1.0,0.9,0.6667,ok,30.31,"All factual statements—four Thermal Management suppliers (Freudenberg-NOK row_id 60, Hyundai Transys Georgia Powertrain row_id 84, Novelis Inc. row_id 129, Peerless-Winsmith Inc. row_id 139) and their Primary OEMs (Multiple OEMs or Hyundai Kia Rivian)—are directly supported by the context rows, with matching locations in Georgia and correct EV Supply Chain Roles.","The answer omits ZF Gainesville LLC, resulting in only four companies listed versus the five required by the gold answer, and incorrectly states the total count as 4. This violates step 2's penalty for omitted companies and fails to cover all parts of the expected output.","The answer lists only four Thermal Management companies and omits ZF Gainesville LLC, contradicting the expected count of five. It also fails to provide the OEM information for ZF Gainesville LLC as required. These factual discrepancies result in a very low alignment with the gold output.","All four cited companies appear in the context with the exact row_id values (60, 84, 129, 139) and their EV Supply Chain Role matches 'Thermal Management', so the evidence is fully consistent and traceable.","The output lists Freudenberg-NOK, Hyundai Transys Georgia Powertrain, Novelis Inc., and Peerless-Winsmith Inc.; each of these appears exactly in the provided context rows (row_ids 60, 84, 129, 139). No hallucinated companies are present, so the response fully satisfies grounding criteria.","The response directly answers the request by listing all Thermal Management suppliers in Georgia and their linked Primary OEMs, presenting the result first and then a clear table. It is well‑structured, concise, and free of contradictions, meeting the communication quality criteria."
batchwise_map_reduce,gemma3:12b,4,list_or_lookup,False,6,supporting+gold,False,0.8,0.0,0.2,1.0,1.0,1.0,0.6667,ok,35.03,"The answer correctly cites GSC Steel Stamping LLC (row 69) and Morgan Corp. (row 119) with the right employment numbers, and those claims are fully supported by the context. However, the response asserts that only two Georgia companies fall under Power Electronics or Charging Infrastructure, omitting Yazaki North America (row 201), which is located in Griffin, GA and lists ""Power electronics"" among its EV Supply Chain Role. This makes the count claim inaccurate, reducing the overall alignment.","The actual output lists only two of the four companies required by the gold answer, omitting Yazaki North America and ZF Gainesville LLC, which are essential fields. Because it fails to address all parts of the question, it receives no credit.","The answer lists only two Georgia companies (GSC Steel Stamping LLC and Morgan Corp.) while the expected output contains four companies, omitting Yazaki North America and ZF Gainesville LLC; the count is also wrong (2 vs 4). Although the listed entries are correct, the missing firms constitute a factual disagreement with the gold answer.","The answer cites row_ids 69 and 119, both of which appear in the context with matching companies (GSC Steel Stamping LLC and Morgan Corp.), roles (Power Electronics, Charging Infrastructure), employment numbers (350, 320) and Georgia locations. The evidence table aligns perfectly with the context, showing no fabricated or mismatched data.","The output asserts two companies, GSC Steel Stamping LLC and Morgan Corp., both of which are present verbatim in the provided context rows (row_id 69 and 119). No hallucinated companies are included, so the response fully satisfies the grounding criteria.","The response directly answers the request by listing each Georgia company and its employment size, states the result up front, and presents the information in a clear, well‑structured format with an evidence table. It is concise, free of contradictions, and fully addresses the query."
batchwise_map_reduce,gemma3:12b,5,list_multi_filter,False,31,supporting+gold,False,0.0,0.2,0.1,0.2,1.0,0.2,0.2833,ok,39.3,"The answer makes several factual statements that are not backed by the provided context: it asserts a specific count of 17 Direct Manufacturer companies (the context lists many more rows and does not label any as ""Direct Manufacturer""), claims coverage of roles like Materials, Power Electronics, Charging Infrastructure and Thermal Management which never appear in the EV Supply Chain Role fields, and provides an overall count of 32 that contradicts its own earlier claim. Because these core claims are unsupported or contradictory, the response fails the verification criteria.","The answer lists 32 Direct Manufacturer entries and a count of 17, while the gold answer expects exactly 11 specific companies with their EV Supply Chain Roles. Although all 11 required companies appear, the response adds many extra rows, incorrect counts, and unrelated role descriptions, failing to match the expected output precisely.","The actual answer lists 32 Direct Manufacturer companies and six supply chain roles, contradicting the expected list of only 11 OEM companies and their two roles (Vehicle Assembly, General Automotive). It includes many rows not present in the gold output and misstates counts and role categories, resulting in factual disagreement.","While the row_ids correctly match companies present in the context, the answer claims ""Direct Manufacturer"" classifications that are not supported by any field in the context data (which lists Category as OEM). Additionally, the response states there are 17 companies but provides evidence for 32 rows, showing a clear inconsistency. The evidence is therefore only partially traceable and largely fabricated, resulting in low alignment.","All 32 company names listed in the actual output (including the duplicate TI Fluid Systems) appear in the provided context rows, so every asserted company is grounded; there are no hallucinated entries.","The response is poorly aligned: it first claims there are 17 companies but then lists 32 rows and a count of 32, creating a contradiction. It also states only six EV supply chain roles while the table shows many additional roles, so the answer does not directly address the question. Although a table is provided, the inconsistencies and lack of concise summary reduce communication quality."
batchwise_map_reduce,gemma3:12b,6,list_or_lookup,False,3,supporting+gold,False,0.4,0.0,0.5,0.4,1.0,0.8,0.5167,ok,30.3,"The answer correctly states that Novelis Inc. operates in Atlanta, Fulton County and that a Manufacturing Plant is a primary facility type, both supported by the three context rows. However, it adds ""Thermal Management"" as a primary facility type, which is not present in the context (it appears only as an EV Supply Chain Role). This unsupported claim reduces the overall alignment.","The actual output omits the state (Georgia) mentioned in the expected answer and incorrectly adds a secondary facility type (Thermal Management) that is not present in the gold answer, deviating from the required information.","The response correctly identifies the location (Atlanta, Fulton County) and count (3), matching the context and expected answer, but it incorrectly adds ""Thermal Management"" as a primary facility type, which contradicts both the gold output and the data where all three rows list only ""Manufacturing Plant"". This factual error reduces alignment.","The cited row_ids (64, 128, 129) correctly correspond to Novelis Inc. in Atlanta with Primary Facility Type = Manufacturing Plant, matching the context. However, the answer also claims a Thermal Management facility type, which is not present in any of the evidence rows—only the EV Supply Chain Role mentions thermal management. This mismatch reduces the alignment score.","The only company asserted is Novelis Inc., which matches exactly the Company field in all three context rows, so it is fully grounded with no hallucinated companies.","The response provides a clear, direct answer stating the location and primary facility types first, which aligns with step 1 and step 2’s preference for concise answers. However, it mentions ""Thermal Management"" despite the evidence only showing ""Manufacturing Plant,"" creating a minor contradiction that slightly detracts from communication quality."
batchwise_map_reduce,gemma3:12b,7,aggregation_ranking,False,1,supporting+gold,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,ok,22.26,"All factual statements (company WIKA USA, location in Gwinnett County, employment of 250000, and EV Supply Chain Role) are directly supported by the provided context row, and no unsupported or invented claims appear.","The actual output correctly identifies WIKA USA as the company with the highest employment in Gwinnett County, provides the exact employment figure (250000) and the EV Supply Chain Role, matching all details of the gold answer. No required information is omitted, so it fully satisfies the evaluation criteria.","The actual output correctly identifies WIKA USA as the company with the highest Employment in Gwinnett County, provides the exact employment figure (250000), and states the correct EV Supply Chain Role, matching both the expected answer and the context row.","The cited row_id 196 exactly matches the entry in the provided context, and all fields (Company, Location, EV Supply Chain Role, Employment) are consistent between the evidence table and the context, indicating fully traceable and accurate evidence.","The only asserted company is ""WIKA USA"", which exactly matches the Company field in the provided context row (row_id 196). No other companies are mentioned, so all asserted entities are grounded and there are no hallucinations.","The response directly answers the question by stating the company (WIKA USA) and its EV Supply Chain Role first, then provides supporting evidence in a clear table; it is concise and well‑structured without any rambling or contradictions."
batchwise_map_reduce,gemma3:12b,8,aggregation_ranking,False,1,supporting+gold,False,1.0,0.0,0.0,1.0,1.0,1.0,0.6667,ok,25.35,"All factual statements (Hall County being the county, total employment of 860, and it being the highest among Tier 1 suppliers) are directly backed by the sole context row showing a Tier 1 supplier in Hall County with 860 employees; no unsupported claims were made.","The actual output names Hall County with 860 employees, while the gold answer specifies Troup County with 2,435 employees. It omits all other Tier 1 suppliers needed to compute the correct total and provides an incorrect county and employment figure, failing to address any part of the expected answer.","The answer cites Hall County with 860 employees, which contradicts the expected answer of Troup County with 2,435 employees; thus it gets the company, count, and field wrong.","The evidence table cites row_id 1 for JTEKT North America Corp. with 860 employees, which exactly matches the single context entry (row_id 1) containing that company and employment figure. The answer’s claim about Hall County having the highest Tier‑1 employment is traceable to this matching record, and no fabricated or mismatched data appear.","The only company mentioned is JTEKT North America Corp., which is present verbatim in the provided context row, so it is fully grounded; no hallucinated companies appear.","The response directly answers the question by stating the county first, is concise, and includes a well‑structured evidence table and brief notes, meeting all communication quality criteria."
batchwise_map_reduce,gemma3:12b,9,aggregation_ranking,False,6,supporting+gold,False,0.0,0.0,0.0,0.0,0.8,0.9,0.2833,ok,31.08,"The answer contains several factual errors not supported by the context: row 42's employment is listed as 170 (actual 200), row 96 references a different company, location, and employment than the context entry, and the summed Hall County employment of 1,860 does not match the correct total of 2,117 from the provided rows. Because multiple claims are unsupported, the response receives no credit.","The actual output states Hall County’s combined employment is 1,860 and lists only six rows, whereas the expected answer reports a total of 314452 for Hall County. The numeric value and supporting data do not match the gold answer, failing to address the required information.","The actual answer states Hall County total employment is 1,860 and lists six rows (including a non‑Hall county row and incorrect employment values), whereas the gold answer requires Hall County total employment of 314452. The factual figures and row selections contradict the expected output, resulting in a complete mismatch.","The cited evidence does not align with the context: row_id 42 lists Employment 200 in the context but 170 in the evidence table; row_id 96 refers to KTX America Corporation in the context, yet the evidence claims Hyundai Transys Georgia Powertrain with different employment and location. Additionally, the summed Hall County employment from the matching rows (860+807+250+170) equals 2,087, not the reported 1,860. These inconsistencies indicate fabricated or mismatched evidence, so the response receives a low score.","The actual output lists six companies, but only five (JTEKT North America Corp., Grudem, Lund International Inc., Duckyang, Haering Precision USA LP) appear in the context. The sixth company, ""Hyundai Transys Georgia Powertrain,"" is not present and is not a spelling variant of any context entry (the context has KTX America Corporation instead). Because one asserted company is hallucinated, the response does not fully meet the grounding criterion, resulting in a reduced score.","The response directly answers the question by stating Hall County as the highest‑employment county with a combined total of 1,860, satisfying step 1. It presents the result first, then briefly explains the calculation and provides supporting evidence in a clear table, meeting step 2’s preference for concise, well‑structured communication without contradictions."
batchwise_map_reduce,gemma3:12b,10,list_multi_filter,False,10,supporting+gold,False,0.5,0.0,0.3,1.0,1.0,0.9,0.6167,ok,35.85,"The answer correctly lists eight facilities and their Primary OEMs that match the context rows, but it falsely claims there are only eight Vehicle Assembly facilities in Georgia while the context contains ten (including TDK Components Inc. and Textron Specialized Vehicles). The count claim is unsupported and two valid facilities are omitted, reducing the overall alignment.","The answer lists only eight facilities while the gold answer contains ten, omitting TDK Components USA Inc. and Textron Specialized Vehicles entirely. This fails to cover all required companies and primary OEMs, resulting in a severe penalty.","The answer lists only eight Vehicle Assembly facilities and states the count is 8, but the gold answer requires ten entries, including TDK Components USA Inc. and Textron Specialized Vehicles which are omitted. The count is therefore wrong and two valid companies are missing, resulting in a substantial factual mismatch despite the correct details for the eight listed rows.","The answer cites eight specific companies and provides matching row_ids (95,171,172,173,175,176,178,179). Each of these row_ids exists in the context with the same company name, EV Supply Chain Role ""Vehicle Assembly"", and the listed Primary OEMs, making the evidence fully traceable and consistent. No fabricated or mismatched entries are present.","The actual output lists eight facilities (Kia Georgia Inc., Superior Essex Inc., Suzuki Manufacturing of America Corp., TCI Powder Coatings, TE Connectivity, Teklas USA, Thermal Ceramics Inc., Thomson Plastics Inc.). Each of these names is found exactly in the provided context rows, so every asserted company is grounded with no hallucinations. Consequently, a full score is warranted.","The response directly answers the prompt by listing all eight Georgia vehicle assembly facilities followed immediately by their corresponding Primary OEMs, presented in a clear, well‑structured sentence. It is concise, avoids unnecessary detail, and stays on point, meeting the communication quality criteria."
