question_number,question,golden_answer,model_name,model_response,status,error_message,num_ctx_requested,actual_context_observed_if_available,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration,created_at,prompt_hash,kb_hash,question_hash,response_char_count,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",mistral-small3.2:24b,"Answer:
There are 10 ""Tier 1/2"" suppliers in Georgia. Their EV Supply Chain Role and Product / Service are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Product / Service |
|---|---|---|---|
| 75 | Hitachi Astemo | General Automotive | Car audio systems |
| 76 | Hitachi Astemo Americas Inc. | Battery Cell | Battery cells for electric mobility |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Lithium-ion battery materials |
| 78 | Honda Development & Manufacturing | Battery Cell | Battery cells for electric mobility |
| 79 | Hwashin | General Automotive | Modules and storage systems |
| 80 | Hyundai & LG Energy Solution (LGES) | General Automotive | Storage batteries |
| 83 | Hyundai Motor Group | Battery Pack | Battery parts for electric vehicles |
| 84 | Hyundai Transys Georgia Powertrain | Thermal Management | Electrical heaters, control units, and actuators |
| 95 | Kia Georgia Inc. | Vehicle Assembly | Golf carts, various off-road vehicles, electric on-road vehicles |
| 103 | Jefferson Southern Corporation | General Automotive | Stamped metal automobile body parts |

Count: 10

Supporting row_ids: 75,76,77,78,79,80,83,84,95,103",ok,,65536,42014,42014,323,46485852809,5128982808,30738330000,10513513000,2026-06-24T03:29:32.588924631Z,fe9f188c24cbf4dc1d4a6c4c7cd716e67675d68dfa2e6c3ea0497d72dba373a6,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bf4d5d87ff7292f2a45d7266e8bb45e82adaed44e897d486c1dbe6bcab9f1ca0,1194,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack",mistral-small3.2:24b,"Answer:
There are 6 Georgia companies classified under Battery Cell or Battery Pack roles. The requested fields (Company and Category) are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Category |
|---|---|---|---|
| 73 | F&P Georgia Manufacturing | Battery Pack | Tier 1/2 |
| 76 | Hitachi Astemo Americas Inc. | Battery Cell | Tier 1/2 |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Tier 1/2 |
| 78 | Honda Development & Manufacturing | Battery Cell | Tier 1/2 |
| 83 | Hyundai Motor Group | Battery Pack | Tier 1/2 |
| 95 | Kia Georgia Inc. | Vehicle Assembly | OEM |

Count: 6

Supporting row_ids: 73,76,77,78,83,95

Notes:",ok,,65536,42010,42010,208,7783194540,238591592,702211000,6741466000,2026-06-24T03:29:40.525747273Z,9498b04a55c6cbd4210c4ebfd2a045d2c55488f2a09573538a1292c92fbae6ee,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24c5b89d2176cb892a6fbd1f128eceacce8273c79629b3fe83ed54faf7b737e0,674,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Not specified
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",mistral-small3.2:24b,"Answer:
There are 3 Thermal Management suppliers in Georgia. The companies and their linked Primary OEMs are shown in the Evidence table below.

Evidence:
| row_id | Company                     | EV Supply Chain Role      | Primary OEMs               |
|--------|------------------------------|---------------------------|-----------------------------|
| 69     | GSC Steel Stamping LLC       | Power Electronics         | Hyundai Kia Rivian          |
| 75     | Hitachi Astemo                | General Automotive        | Multiple OEMs               |
| 130    | Hyundai Transys Georgia      | Thermal Management         | Hyundai Kia Rivian          |

Count: 3

Supporting row_ids: 69,75,130",ok,,65536,42009,42009,158,6133114850,228516530,700927000,5111567000,2026-06-24T03:29:46.821483569Z,1dcffa66f8a8933b0a97cd7f764d077e462b35c35e9b0fd932de729070e2bf31,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bac8c3daafda218795285cfc62d9e3ce5061c9d1c73749d4525554254e898d87,695,
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",mistral-small3.2:24b,"Answer:
There are 2 Georgia companies classified under Power Electronics or Charging Infrastructure. The requested fields (Company and Employment) are shown in the Evidence table below.

Evidence:
| row_id | Company                     | EV Supply Chain Role   | Employment |
|--------|------------------------------|------------------------|------------|
| 69     | GSC Steel Stamping LLC      | Power Electronics      | 350        |
| 119    | Morgan Corp.                 | Charging Infrastructure| 320        |

Count: 2

Supporting row_ids: 69,119",ok,,65536,42009,42009,126,5088203309,244680726,699995000,4050401000,2026-06-24T03:29:52.063221109Z,fdcf10791dccb9ea7bb8e0045fcd260f9d4b7e60126540867e32fc02369b9c38,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,87a078233d1d5ab225d71ebbbaecd594a6a3a8683c41cbfb5f4d1070d4754e2b,552,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",mistral-small3.2:24b,"Answer:
There are 12 companies classified as Direct Manufacturer. The EV Supply Chain Roles they cover are shown in the Evidence table below.

Evidence:
| row_id | Company | Classification Method | EV Supply Chain Role |
|---|---|---|---|
| 95 | Kia Georgia Inc. | Direct Manufacturer | Vehicle Assembly |
| 171 | Superior Essex Inc. | Direct Manufacturer | Vehicle Assembly |
| 172 | Suzuki Manufacturing of America Corp. | Direct Manufacturer | Vehicle Assembly |
| 173 | TCI Powder Coatings | Direct Manufacturer | Vehicle Assembly |
| 174 | TDK Components USA Inc. | Direct Manufacturer | Vehicle Assembly |
| 175 | TE Connectivity | Direct Manufacturer | Vehicle Assembly |
| 176 | Teklas USA | Direct Manufacturer | Vehicle Assembly |
| 177 | Textron Specialized Vehicles | Direct Manufacturer | Vehicle Assembly |
| 178 | Thermal Ceramics Inc. | Direct Manufacturer | Vehicle Assembly |
| 179 | Thomson Plastics Inc. | Direct Manufacturer | Vehicle Assembly |

Count: 10

Supporting row_ids: 95,171,172,173,174,175,176,177,178,179",ok,,65536,42008,42008,284,10190763654,220469545,702663000,9174536000,2026-06-24T03:30:02.409900126Z,9256dd124fc056de6707410a2b6e84663cb7d1ea1077739fa2e36c03eaaf7dbc,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,e5fe1272d51b1bc8f3825f8259a800a7e90348cb72caf246bea77686d46d21ff,1037,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",mistral-small3.2:24b,"Answer:
Novelis Inc. operates in two locations in Georgia. The details are shown in the Evidence table below.

Evidence:
| row_id | Company          | Location                     | Primary Facility Type |
|--------|------------------|-------------------------------|------------------------|
| 64     | Novelis Inc.     | Atlanta, Fulton County       | Manufacturing Plant    |
| 128    | Novelis Inc.     | Atlanta, Fulton County       | Manufacturing Plant    |

Count: 2

Supporting row_ids: 64, 128",ok,,65536,42011,42011,116,4760560285,223459614,700640000,3739274000,2026-06-24T03:30:07.313759354Z,abb3557002bdca60777646313546a53ff238b8b77d1589ff0183851cf90a85ce,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24a3750ba150d2715b33891fe1bb35c4e66fbf582540b899e77b80c6b4e61dfc,503,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,mistral-small3.2:24b,"Answer:
In Gwinnett County, the company with the highest employment is Lehigh Technologies Inc. with 520 employees, and its EV Supply Chain Role is General Automotive.

Evidence:
| row_id | Company                     | Employment | EV Supply Chain Role   |
|--------|------------------------------|------------|------------------------|
| 101    | Lehigh Technologies Inc.    | 520        | General Automotive     |

Count: 1

Supporting row_ids: 101",ok,,65536,42011,42011,107,4495613155,239531048,705803000,3446759000,2026-06-24T03:30:11.965189949Z,3ff9f095b81469167fa22910e2a90f7cbe64ec086b44e96e1b3b41cf1bf2b706,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,86d7c40d3a0e0b9d053e285b403cb62acf59eacb1adb2bc794f7982bd50f1b88,451,
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",mistral-small3.2:24b,"Answer:
The county with the highest total employment among Tier 1 suppliers is Troup County with a total employment of 3,540.

Evidence:
| row_id | Company                     | Category | Employment |
|--------|------------------------------|----------|------------|
| 75     | Hitachi Astemo                | Tier 1/2 | 800        |
| 96     | KTX America Corporation      | Tier 1   | 740        |
| 97     | Kumho Tire USA Inc.          | Tier 1   | 730        |
| 98     | Kyungshin America Corp.       | Tier 1   | 700        |
| 152    | Rivian Automotive             | Tier 1   | 105        |

Count: 5

Supporting row_ids: 75,96,97,98,152",ok,,65536,42004,42004,206,7847904374,224952089,864926000,6655025000,2026-06-24T03:30:19.964689393Z,ad5039ba32762c63a2c03969f63174df930b23ca0aaea19e26391dff387b53e1,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8ae2a0b0fa4c4a12eb2834606c9af0d82db1456537c25b9eb7de62a84e57c569,647,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Hall County has the highest total employment across all companies: 314452.,mistral-small3.2:24b,"Answer:
The county with the highest total employment across all companies is Troup County with a combined employment of 4,950.

Evidence:
| row_id | Company | Location | Employment |
|---|---|---|---|
| 72 | Hanon Systems USA LLC | Shorter, Spalding County | 100 |
| 83 | Hyundai Motor Group | Ellabell, Bryan County | 164 |
| 95 | Kia Georgia Inc. | West Point, Troup County | 777 |
| 96 | KTX America Corporation | LaGrange, Meriwether County | 740 |
| 98 | Kyungshin America Corp. | West Point, Troup County | 700 |
| 123 | NIFCO KTW America Corp. | Toccoa, Franklin County | 300 |
| 156 | Seohan Auto USA | LaGrange, Lamar County | 85 |
| 157 | Seoyon E-HWA | West Point, Troup County | 85 |
| 158 | Seoyon E-Hwa Interior Systems | West Point, Troup County | 80 |
| 163 | SK Battery America | Ellabell, Bryan County | 75 |

Count: 10

Supporting row_ids: 72,83,95,96,98,123,156,157,158,163

Notes:",ok,,65536,42011,42011,335,11899640444,236786568,704810000,10843551000,2026-06-24T03:30:32.031005113Z,0cb6509706a0cc1d36b28a3787fb8e594877f333383d5f9abcbb0a0efe0177cd,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,a2f29f31bab063058ba014530d6aa4bfae6213fc3c4e7c83927fe71fe4f2d04a,901,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",mistral-small3.2:24b,"Answer:
There are 10 Vehicle Assembly facilities in Georgia. The corresponding Primary OEM associated with each facility is shown in the Evidence table below.

Evidence:
| row_id | Company | Location | Primary OEM |
|---|---|---|---|
| 95 | Kia Georgia Inc. | West Point, Troup County | Club Car LLC |
| 172 | Suzuki Manufacturing of America Corp. | Rome, Cobb County | Rivian Automotive |
| 173 | TCI Powder Coatings | Ellaville, Schley County | Kia Georgia Inc. |
| 174 | TDK Components USA Inc. | Silver Creek, Floyd County | Mercedes-Benz USA LLC |
| 175 | TE Connectivity | Kennesaw, Cobb County | Blue Bird Corp. |
| 176 | Teklas USA | Calhoun, Gordon County | Yamaha Motor Manufacturing Corp. |
| 177 | Textron Specialized Vehicles | Augusta, Richmond County | Textron Specialized Vehicles |
| 178 | Thermal Ceramics Inc. | Augusta, Columbia County | SK Battery America |
| 179 | Thomson Plastics Inc. | Monroe, Walton County | Archer Aviation Inc. |

Count: 9

Supporting row_ids: 95,172,173,174,175,176,177,178,179",ok,,65536,42010,42010,310,11054879038,223116367,703749000,10035745000,2026-06-24T03:30:43.2463664Z,83680ecdba64920f90633819fa309ae780838be6a55d790fdd026c4e6740a690,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,6ae576e204e49630a76a67c72578fbde94e4cf05a7b5adfa33cca6536760c626,1023,
