question_number,question,golden_answer,model_name,model_response,status,error_message,num_ctx_requested,actual_context_observed_if_available,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration,created_at,prompt_hash,kb_hash,question_hash,response_char_count,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",qwen3:30b,"Answer: There are 13 ""Tier 1/2"" suppliers in Georgia. Their EV Supply Chain Roles and Product / Services are listed in the Evidence table.

Evidence:
| row_id | Company | EV Supply Chain Role | Product / Service |
|--------|---------|----------------------|-------------------|
| 10 | Fouts Brothers Fire Equipment | General Automotive | Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units |
| 53 | F&P Georgia Manufacturing | Battery Pack | Lithium-ion battery recycler and raw materials provider |
| 75 | Hitachi Astemo | General Automotive | Car audio systems |
| 76 | Hitachi Astemo Americas Inc. | Battery Cell | Battery cells for electric mobility |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Lithium-ion battery materials |
| 78 | Honda Development & Manufacturing | Battery Cell | Battery cells for electric mobility |
| 79 | Hwashin | General Automotive | Modules and storage systems |
| 80 | Hyundai & LG Energy Solution (LGES) | General Automotive | Storage batteries |
| 83 | Hyundai Transys Georgia Powertrain | Battery Pack | Battery parts for electric vehicles |
| 84 | Hyundai Transys Georgia Powertrain | Thermal Management | Electrical heaters, control units, and actuators |
| 86 | IMMI | Battery Pack | Battery electrolyte |
| 87 | IMS Gear Georgia Inc. | General Automotive | Car audio systems |
| 99 | Hyundai MOBIS (Georgia) | General Automotive | Capacitors, electronic automotive components |

Count: 13

Supporting row_ids: 10,53,75,76,77,78,79,80,83,84,86,87,99

Notes: All 13 records exactly match the ""Tier 1/2"" category filter. The EV Supply Chain Role and Product / Service fields are taken directly from the KB records without modification.",ok,,65536,40017,40017,2786,52527045725,7025301632,13757798000,31597204000,2026-06-24T03:35:31.718779321Z,fe9f188c24cbf4dc1d4a6c4c7cd716e67675d68dfa2e6c3ea0497d72dba373a6,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bf4d5d87ff7292f2a45d7266e8bb45e82adaed44e897d486c1dbe6bcab9f1ca0,1803,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack",qwen3:30b,"Answer: There are 4 Georgia companies classified under Battery Cell or Battery Pack roles. All are Tier 1/2 suppliers.

Evidence:
| row_id | Company | Category |
|---|---|---|
| 76 | Hitachi Astemo Americas Inc. | Tier 1/2 |
| 77 | Hollingsworth & Vose Co. | Tier 1/2 |
| 83 | Hyundai Motor Group | Tier 1/2 |
| 86 | IMMI | Tier 1/2 |

Count: 4

Supporting row_ids: 76, 77, 83, 86",ok,,65536,40013,40013,3720,43544225064,172776688,455620000,42774749000,2026-06-24T03:36:15.332930196Z,9498b04a55c6cbd4210c4ebfd2a045d2c55488f2a09573538a1292c92fbae6ee,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24c5b89d2176cb892a6fbd1f128eceacce8273c79629b3fe83ed54faf7b737e0,380,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Not specified
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",qwen3:30b,"Answer: Georgia has 3 Thermal Management suppliers. They are linked to the following Primary OEMs: Multiple OEMs (Freudenberg-NOK), Hyundai Kia Rivian (Hyundai Transys Georgia Powertrain), and Multiple OEMs (Peerless-Winsmith Inc.).

Evidence:
| row_id | Company | Primary OEMs |
|--------|---------|--------------|
| 60     | Freudenberg-NOK | Multiple OEMs |
| 84     | Hyundai Transys Georgia Powertrain | Hyundai Kia Rivian |
| 139    | Peerless-Winsmith Inc. | Multiple OEMs |

Count: 3

Supporting row_ids: 60,84,139

Notes: Only three records in the knowledge base have ""EV Supply Chain Role"" exactly matching ""Thermal Management"". All three are located in Georgia.",ok,,65536,40011,40011,2761,32665064669,168921168,455080000,31897823000,2026-06-24T03:36:48.072145511Z,1dcffa66f8a8933b0a97cd7f764d077e462b35c35e9b0fd932de729070e2bf31,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bac8c3daafda218795285cfc62d9e3ce5061c9d1c73749d4525554254e898d87,672,
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",qwen3:30b,"Answer: There is 1 Georgia company classified under Power Electronics or Charging Infrastructure, with an employment size of 350. The company is GSC Steel Stamping LLC.

Evidence:
| row_id | Company | Employment |
|---|---|---|
| 69 | GSC Steel Stamping LLC | 350 |

Count: 1

Supporting row_ids: 69

Notes: The only matching record is row 69 with ""EV Supply Chain Role"" exactly ""Power Electronics"". No records match ""Charging Infrastructure"". Employment value is taken directly from the ""Employment"" field.",ok,,65536,40011,40011,2916,34230595553,188046851,459726000,33432284000,2026-06-24T03:37:22.373498176Z,fdcf10791dccb9ea7bb8e0045fcd260f9d4b7e60126540867e32fc02369b9c38,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,87a078233d1d5ab225d71ebbbaecd594a6a3a8683c41cbfb5f4d1070d4754e2b,507,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",qwen3:30b,"Answer: The 9 companies classified as Direct Manufacturer all cover the EV Supply Chain Role of Vehicle Assembly.

Evidence:
| row_id | Company | EV Supply Chain Role |
|---|---|---|
| 171 | Superior Essex Inc. | Vehicle Assembly |
| 172 | Suzuki Manufacturing of America Corp. | Vehicle Assembly |
| 173 | TCI Powder Coatings | Vehicle Assembly |
| 174 | TDK Components USA Inc. | Vehicle Assembly |
| 175 | TE Connectivity | Vehicle Assembly |
| 176 | Teklas USA | Vehicle Assembly |
| 177 | Textron Specialized Vehicles | Vehicle Assembly |
| 178 | Thermal Ceramics Inc. | Vehicle Assembly |
| 179 | Thomson Plastics Inc. | Vehicle Assembly |

Count: 9

Supporting row_ids: 171,172,173,174,175,176,177,178,179

Notes: All 9 companies share the same EV Supply Chain Role (""Vehicle Assembly"") as specified in their records. No other companies in the KB have ""Classification Method"" exactly matching ""Direct Manufacturer"".",ok,,65536,40011,40011,2748,32425899092,206082326,458391000,31586892000,2026-06-24T03:37:54.882568391Z,9256dd124fc056de6707410a2b6e84663cb7d1ea1077739fa2e36c03eaaf7dbc,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,e5fe1272d51b1bc8f3825f8259a800a7e90348cb72caf246bea77686d46d21ff,922,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",qwen3:30b,"Answer: Novelis Inc. operates in Atlanta, Fulton County, with a primary facility type of Manufacturing Plant. There are 3 matching records in the data.

Evidence:
| row_id | Company | Location | Primary Facility Type |
|---|---|---|---|
| 64 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 128 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 129 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |

Count: 3

Supporting row_ids: 64, 128, 129

Notes: All three records for Novelis Inc. show identical location and primary facility type, so the location and facility type are consistent across all matching records.",ok,,65536,40014,40014,2404,28367564531,175607077,459059000,27582967000,2026-06-24T03:38:23.319872058Z,abb3557002bdca60777646313546a53ff238b8b77d1589ff0183851cf90a85ce,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24a3750ba150d2715b33891fe1bb35c4e66fbf582540b899e77b80c6b4e61dfc,661,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,qwen3:30b,"Answer: Arising Industries Inc. has the highest Employment in Gwinnett County, with an EV Supply Chain Role of General Automotive.

Evidence:
| row_id | Company | EV Supply Chain Role |
|---|---|---|
| 5 | Arising Industries Inc. | General Automotive |

Count: 1

Supporting row_ids: 5",ok,,65536,40014,40014,5021,59054253067,178187206,454285000,58277167000,2026-06-24T03:39:22.43428452Z,3ff9f095b81469167fa22910e2a90f7cbe64ec086b44e96e1b3b41cf1bf2b706,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,86d7c40d3a0e0b9d053e285b403cb62acf59eacb1adb2bc794f7982bd50f1b88,285,
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",qwen3:30b,"Answer: Troup County has the highest total Employment among Tier 1 suppliers with a total of 1,735.

Evidence:
| row_id | Company | Location | Employment |
|---|---|---|---|
| 45 | Milliken & Co./Valway Plant | LaGrange, Troup County | 400 |
| 46 | Mobis Alabama LLC | West Point, Troup County | 350 |
| 148 | Sewon America Inc. | LaGrange, Troup County | 80 |
| 100 | Lear Corporation | Hammond Industrial Park, Troup County | 590 |
| 151 | Sewon America Inc. | LaGrange, Troup County | 75 |
| 157 | Seoyon E-HWA | West Point, Troup County | 85 |
| 158 | Seoyon E-Hwa Interior Systems | West Point, Troup County | 80 |
| 161 | Sewon America Inc. | LaGrange, Troup County | 75 |

Count: 8

Supporting row_ids: 45, 46, 148, 100, 151, 157, 158, 161",ok,,65536,40007,40007,6519,77081278610,189381404,453655000,76274446000,2026-06-24T03:40:39.599223305Z,ad5039ba32762c63a2c03969f63174df930b23ca0aaea19e26391dff387b53e1,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8ae2a0b0fa4c4a12eb2834606c9af0d82db1456537c25b9eb7de62a84e57c569,746,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Hall County has the highest total employment across all companies: 314452.,qwen3:30b,"Answer: Hall County has the highest total employment with 296507.

Evidence:
| row_id | Company | Employment |
|---|---|---|
| 1 | JTEKT North America Corp. | 860 |
| 3 | Grudem | 807 |
| 35 | Duckyang | 250 |
| 42 | Haering Precision USA LP | 200 |
| 70 | Denso Manufacturing Georgia | 260 |
| 71 | Haering Precision USA LP | 170 |
| 90 | Oneda Corp. | 200 |
| 139 | Peerless-Winsmith Inc. | 160 |
| 203 | ZF Gainesville LLC | 170000 |
| 204 | ZF Gainesville LLC | 17500 |
| 205 | ZF Gainesville LLC | 106100 |

Count: 11

Supporting row_ids: 1,3,35,42,70,71,90,139,203,204,205

Notes: The total employment for Hall County was calculated by summing the Employment values from all records in Hall County (as determined by the County part of the Location field). The highest total was found to be 296507, which is higher than other counties (e.g., Gwinnett County: 253587, Cobb County: 208844).",ok,,65536,40014,40014,12379,150738793009,178867452,455576000,149958239000,2026-06-24T03:43:10.414594807Z,0cb6509706a0cc1d36b28a3787fb8e594877f333383d5f9abcbb0a0efe0177cd,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,a2f29f31bab063058ba014530d6aa4bfae6213fc3c4e7c83927fe71fe4f2d04a,893,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",qwen3:30b,"Answer: There are 8 Vehicle Assembly facilities in Georgia. The corresponding Primary OEMs are listed in the Evidence table.

Evidence:
| row_id | Company | Primary OEMs |
|---|---|---|
| 171 | TE Connectivity | Blue Bird Corp. |
| 172 | Suzuki Manufacturing of America Corp. | Rivian Automotive |
| 173 | TCI Powder Coatings | Kia Georgia Inc. |
| 174 | TDK Components USA Inc. | Mercedes-Benz USA LLC |
| 176 | Teklas USA | Yamaha Motor Manufacturing Corp. |
| 177 | Textron Specialized Vehicles | Textron Specialized Vehicles |
| 178 | Thermal Ceramics Inc. | SK Battery America |
| 179 | Thomson Plastics Inc. | Archer Aviation Inc. |

Count: 8

Supporting row_ids: 171, 172, 173, 174, 176, 177, 178, 179

Notes: Row 175 (TE Connectivity) was excluded as it was a duplicate of row 171.",ok,,65536,40012,40012,2034,24095982342,172274417,459089000,23311169000,2026-06-24T03:43:34.584906209Z,83680ecdba64920f90633819fa309ae780838be6a55d790fdd026c4e6740a690,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,6ae576e204e49630a76a67c72578fbde94e4cf05a7b5adfa33cca6536760c626,789,
