question_number,question,golden_answer,model_name,model_response,status,error_message,num_ctx_requested,actual_context_observed_if_available,prompt_eval_count,eval_count,total_duration,load_duration,prompt_eval_duration,eval_duration,created_at,prompt_hash,kb_hash,question_hash,response_char_count,notes
1,"Show all ""Tier 1/2"" suppliers in Georgia, list their EV Supply Chain Role and Product / Service.","There are 18 Tier 1/2 companies in Georgia.
F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery recycler and raw materials provider
Fouts Brothers Fire Equipment [Tier 1/2] | Role: General Automotive | Product: Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units
Hitachi Astemo [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack | Product: Lithium-ion battery materials
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell | Product: Battery cells for electric mobility
Hwashin [Tier 1/2] | Role: General Automotive | Product: Modules and storage systems
Hyundai & LG Energy Solution (LGES) [Tier 1/2] | Role: General Automotive | Product: Storage batteries
Hyundai Industrial Co. [Tier 1/2] | Role: General Automotive | Product: Automotive batteries
Hyundai MOBIS (Georgia) [Tier 1/2] | Role: General Automotive | Product: Capacitors, electronic automotive components
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack | Product: Battery parts for electric vehicles
Hyundai Transys Georgia Powertrain [Tier 1/2] | Role: Thermal Management | Product: Electrical heaters, control units, and actuators
Hyundai Transys Georgia Seating Systems [Tier 1/2] | Role: General Automotive | Product: Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts
IMMI [Tier 1/2] | Role: Battery Pack | Product: Battery electrolyte
IMS Gear Georgia Inc. [Tier 1/2] | Role: General Automotive | Product: Car audio systems
Inalfa Roof Systems Inc. [Tier 1/2] | Role: General Automotive | Product: Automotive electronic safety systems
JAC Products Inc. [Tier 1/2] | Role: General Automotive | Product: Switches, resistors and related products
Jefferson Southern Corp. [Tier 1/2] | Role: General Automotive | Product: High current switches and resistors for automotive HVAC systems",gemma3:27b,"Answer: There are 10 Tier 1/2 suppliers in Georgia. Their EV Supply Chain Role and Product / Service are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Product / Service |
|---|---|---|---|
| 10 | Fouts Brothers Fire Equipment | General Automotive | Automotive body parts and electronics Cylinder-head and specialty gaskets, housing modules and shielding systems for engines, transmissions, exhaust systems and auxiliary units |
| 75 | Hitachi Astemo | Tier 2/3 | General Automotive |
| 76 | Hyundai & LG Energy Solution (LGES) | Tier 2/3 | Battery parts for electric vehicles |
| 77 | Lehigh Technologies Inc. | Tier 1 | Battery Pack |
| 78 | Honda Development & Manufacturing | Tier 1 | Battery Cell |
| 95 | Kia Georgia Inc. | Vehicle Assembly | Golf carts, various off-road vehicles, electric on-road vehicles |
| 96 | KTX America Corporation | Tier 1 | Automotive body parts |
| 99 | Hyundai Transys Georgia Seating Systems | Tier 1/2 | Automotive electronics, resonators, capacitors, resistors, electronics and electronic parts |
| 171 | Superior Essex Inc. | OEM | Electric vehicles and batteries |
| 181 | TI Fluid Systems | Tier 1 | OEM corporate footprint influencing EV strategy |

Count: 10

Supporting row_ids: 10, 75, 76, 77, 78, 95, 96, 99, 171, 181

Notes: None.",ok,,65536,39141,39141,367,40195579906,14613874683,12438951000,12931355000,2026-06-24T03:19:54.091211171Z,fe9f188c24cbf4dc1d4a6c4c7cd716e67675d68dfa2e6c3ea0497d72dba373a6,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bf4d5d87ff7292f2a45d7266e8bb45e82adaed44e897d486c1dbe6bcab9f1ca0,1321,
2,"Which Georgia companies are classified under Battery Cell or Battery Pack roles, and what tier is each assigned?","There are 6 companies found with Battery Cell or Battery Pack roles.    

F&P Georgia Manufacturing [Tier 1/2] | Role: Battery Pack 
Hitachi Astemo Americas Inc. [Tier 1/2] | Role: Battery Cell 
Hollingsworth & Vose Co. [Tier 1/2] | Role: Battery Pack 
Honda Development & Manufacturing [Tier 1/2] | Role: Battery Cell 
Hyundai Motor Group [Tier 1/2] | Role: Battery Pack 
IMMI [Tier 1/2] | Role: Battery Pack",gemma3:27b,"Answer: There are 5 Georgia companies classified as either Battery Cell or Battery Pack roles. The details for each company, including their tier assignment, are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Category |
|---|---|---|---|
| 76 | Hyundai Kia | Battery Cell | Tier 2/3 |
| 77 | Hollingsworth & Vose Co. | Battery Pack | Tier 1/2 |
| 83 | Hyundai Motor Group | Battery Pack | Tier 1/2 |
| 150 | Racemark International LLC | Battery parts for electric vehicles | Tier 1 |
| 163 | SK Battery America | Materials | Tier 1 |

Count: 5

Supporting row_ids: 76, 77, 83, 150, 163

Notes: None.",ok,,65536,39137,39137,199,8531381871,437081274,853567000,6995372000,2026-06-24T03:20:02.90457733Z,9498b04a55c6cbd4210c4ebfd2a045d2c55488f2a09573538a1292c92fbae6ee,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24c5b89d2176cb892a6fbd1f128eceacce8273c79629b3fe83ed54faf7b737e0,642,
3,Map all Thermal Management suppliers in Georgia and show which Primary OEMs they are linked to.,"There are 5 Thermal Management companies in Georgia.
ZF Gainesville LLC | OEMs: Not specified
Freudenberg-NOK | OEMs: Multiple OEMs
Hyundai Transys Georgia Powertrain | OEMs: Hyundai Kia Rivian
Novelis Inc. | OEMs: Multiple OEMs
Peerless-Winsmith Inc. | OEMs: Multiple OEMs",gemma3:27b,"Answer: There are 6 Thermal Management suppliers in Georgia. The requested information is shown in the Evidence table below.

Evidence:
| row_id | Company | Primary OEMs |
|---|---|---|
| 6 | Dinex Emissions Inc. | Multiple OEMs |
| 71 | Haering Precision USA LP | Multiple OEMs |
| 137 | Panasonic Automotive Systems Co. | Multiple OEMs |
| 153 | SK Battery America | Multiple OEMs |
| 172 | Suzuki Manufacturing of America Corp. | Rivian Automotive |
| 203 | ZF Gainesville LLC | null |

Count: 6

Supporting row_ids: 6, 71, 137, 153, 172, 203

Notes: Some records have a null value for Primary OEMs.",ok,,65536,39134,39134,183,7805611966,409795044,715078000,6411601000,2026-06-24T03:20:10.980094263Z,1dcffa66f8a8933b0a97cd7f764d077e462b35c35e9b0fd932de729070e2bf31,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,bac8c3daafda218795285cfc62d9e3ce5061c9d1c73749d4525554254e898d87,602,
4,"List every Georgia company classified under Power Electronics or Charging Infrastructure, along with their Employment size.","There are 4 companies classified under Power Electronics or Charging Infrastructure:
GSC Steel Stamping LLC | Role: Power Electronics | Employment: 350
Morgan Corp. | Role: Charging Infrastructure | Employment: 320
Yazaki North America | Role: Power electronics, sensors, and EV systems | Employment: 230000
ZF Gainesville LLC has a combined role (EV thermal management and power electronics) | Employment: 17500",gemma3:27b,"Answer: There are 3 Georgia companies classified under Power Electronics or Charging Infrastructure. Their Employment sizes and other details are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Employment |
|---|---|---|---|
| 169 | GSC Steel Stamping LLC | Power Electronics | 350 |
| 175 | Suzuki Manufacturing of America Corp. | General Automotive | 7500 |
| 180 | TI Fluid Systems | Charging Infrastructure | 80 |

Count: 3

Supporting row_ids: 169, 175, 180

Notes: None.",ok,,65536,39135,39135,148,6589877141,419991916,716060000,5185725000,2026-06-24T03:20:17.833709998Z,fdcf10791dccb9ea7bb8e0045fcd260f9d4b7e60126540867e32fc02369b9c38,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,87a078233d1d5ab225d71ebbbaecd594a6a3a8683c41cbfb5f4d1070d4754e2b,518,
5,"Which companies are classified as Direct Manufacturer, and what EV Supply Chain Roles do they cover?","Original Equipment Manufacturer companies (11):
Kia Georgia Inc. | EV Supply Chain Role: Vehicle Assembly
Minebea AccessSolutions USA Inc. | EV Supply Chain Role: General Automotive
Superior Essex Inc. | EV Supply Chain Role: Vehicle Assembly
Suzuki Manufacturing of America Corp. | EV Supply Chain Role: Vehicle Assembly
TCI Powder Coatings | EV Supply Chain Role: Vehicle Assembly
TDK Components USA Inc. | EV Supply Chain Role: Vehicle Assembly
TE Connectivity | EV Supply Chain Role: Vehicle Assembly
Teklas USA | EV Supply Chain Role: Vehicle Assembly
Textron Specialized Vehicles | EV Supply Chain Role: Vehicle Assembly
Thermal Ceramics Inc. | EV Supply Chain Role: Vehicle Assembly
Thomson Plastics Inc. | EV Supply Chain Role: Vehicle Assembly",gemma3:27b,"Answer: There are 6 companies classified as Direct Manufacturer. Their EV Supply Chain Roles are shown in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role |
|---|---|---|
| 195 | Kia Georgia Inc. | Vehicle Assembly |
| 171 | Superior Essex Inc. | Vehicle Assembly |
| 172 | Suzuki Manufacturing of America Corp. | Vehicle Assembly |
| 173 | TCI Powder Coatings | Vehicle Assembly |
| 174 | TDK Components USA Inc. | Vehicle Assembly |
| 175 | TE Connectivity | Vehicle Assembly |

Count: 6

Supporting row_ids: 195, 171, 172, 173, 174, 175

Notes: None.",ok,,65536,39135,39135,184,7847331327,428265118,710767000,6459535000,2026-06-24T03:20:25.961777391Z,9256dd124fc056de6707410a2b6e84663cb7d1ea1077739fa2e36c03eaaf7dbc,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,e5fe1272d51b1bc8f3825f8259a800a7e90348cb72caf246bea77686d46d21ff,583,
6,"What locations does Novelis Inc. operate in, and what primary facility types are associated with each location?","Novelis Inc. has three operating entries in Georgia, and all three are located in Atlanta, Fulton County, with each one classified as a Manufacturing Plant as its primary facility type.",gemma3:27b,"Answer: Novelis Inc. operates in two locations in Georgia: Atlanta and Calhoun. In Atlanta, the primary facility type is a Manufacturing Plant, while in Calhoun it's also a Manufacturing Plant.

Evidence:
| row_id | Company | Location | Primary Facility Type |
|---|---|---|---|
| 164 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 172 | Novelis Inc. | Atlanta, Fulton County | Manufacturing Plant |
| 180 | Novelis Inc. | Calhoun, Gordon County | Manufacturing Plant |

Count: 3

Supporting row_ids: 164, 172, 180

Notes: There are two records for Novelis in Atlanta with the same location and primary facility type.",ok,,65536,39138,39138,170,7268112164,392083516,670199000,5958420000,2026-06-24T03:20:33.500948349Z,abb3557002bdca60777646313546a53ff238b8b77d1589ff0183851cf90a85ce,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,24a3750ba150d2715b33891fe1bb35c4e66fbf582540b899e77b80c6b4e61dfc,636,
7,"In Gwinnett County, which company has the highest Employment and what is its EV Supply Chain Role?",WIKA USA has the highest employment in Gwinnett County (Employment: 250000; Role: HV and LV wiring harnesses for EVs and ICE vehicles).,gemma3:27b,"Answer: In Gwinnett County, Arising Industries Inc. has the highest Employment with a value of 582, and its EV Supply Chain Role is Materials.

Evidence:
| row_id | Company | Employment | EV Supply Chain Role |
|---|---|---|---|
| 5 | Arising Industries Inc. | 582 | Materials |
| 9 | FOX Factory | 345 | General Automotive |
| 16 | AVS | 310 | General Automotive |
| 25 | Blue Bird Corp. | 275 | Materials |
| 30 | DAEHAN Solution Georgia LLC | 130 | Materials |
| 51 | Enchem America Inc. | 155 | Electric wiring components |
| 61 | Arising Industries Inc. | 90 | Rubber powders for tires |
| 68 | FREYR Battery | 110 | General Automotive |
| 121 | Porsche Cars North America Inc. | 125 | General Automotive |
| 131 | RealTruck | 100 | Automotive lighting and electronics |

Count: 10

Supporting row_ids: 5, 9, 16, 25, 30, 51, 61, 68, 121, 131

Notes: There are multiple companies in Gwinnett County. Arising Industries Inc. has the highest employment value of 582 among those listed.",ok,,65536,39138,39138,334,13061086616,409801270,675489000,11733873000,2026-06-24T03:20:46.846825149Z,3ff9f095b81469167fa22910e2a90f7cbe64ec086b44e96e1b3b41cf1bf2b706,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,86d7c40d3a0e0b9d053e285b403cb62acf59eacb1adb2bc794f7982bd50f1b88,987,
8,Which county have the highest total Employment among Tier 1 suppliers only?,"Troup County has the highest total Employment among Tier 1 suppliers with a total of 2,435 employees",gemma3:27b,"Answer: Hall County has the highest total Employment among Tier 1 suppliers, with a combined employment of 1670. This is calculated by summing the employment values from JTEKT North America Corp. (860) and Lund International Inc. (500), and Jefferson Southern Corp. (310).

Evidence:
| row_id | Company | Employment | Category |
|---|---|---|---|
| 1 | JTEKT North America Corp. | 860 | Tier 1 |
| 24 | Lund International Inc. | 500 | Tier 1 |
| 91 | Jefferson Southern Corp. | 310 | Tier 1 |

Count: 3

Supporting row_ids: 1, 24, 91

Notes: None.",ok,,65536,39131,39131,177,7588746680,433924971,710690000,6217104000,2026-06-24T03:20:54.699766433Z,ad5039ba32762c63a2c03969f63174df930b23ca0aaea19e26391dff387b53e1,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,8ae2a0b0fa4c4a12eb2834606c9af0d82db1456537c25b9eb7de62a84e57c569,547,
9,"Which county has the highest total employment across all companies, and what is the combined employment in that county?",Hall County has the highest total employment across all companies: 314452.,gemma3:27b,"Answer: Hall County has the highest total employment with a combined 2670 employees across all listed companies. This was calculated by summing the Employment values for all records located in Hall County.

Evidence:
| row_id | Company | Location | Employment |
|---|---|---|---|
| 1 | JTEKT North America Corp. | Pendergrass, Hall County | 860 |
| 3 | Grudem | Gainesville, Hall County | 807 |
| 91 | Jefferson Southern Corp. | Commerce, Forsyth County | 500 |
| 128 | Novelis Inc. | Atlanta, Fulton County | 205 |
| 146 | Trenton Pressing | Savannah, Chatham County | 60 |
| 150 | Racemark International LLC | Gray, Jones County | 120 |
| 196 | WIKA USA | Lawrenceville, Gwinnett County | 250000 |

Count: 7

Supporting row_ids: 1, 3, 91, 128, 146, 150, 196

Notes: The question asks for the county with highest total employment. There are multiple companies listed in Hall County and Forsyth County. I have included all records from both counties to calculate the total employment.",ok,,65536,39138,39138,296,11821908337,442352752,688861000,10401890000,2026-06-24T03:21:06.783628317Z,0cb6509706a0cc1d36b28a3787fb8e594877f333383d5f9abcbb0a0efe0177cd,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,a2f29f31bab063058ba014530d6aa4bfae6213fc3c4e7c83927fe71fe4f2d04a,984,
10,Identify all Vehicle Assembly facilities in Georgia and list the corresponding Primary OEM associated with each facility.,"There are 10 Vehicle Assembly OEMs along with their Primary OEMs are:
Kia Georgia Inc. | Primary OEMs: Club Car LLC
Superior Essex Inc. | Primary OEMs: Hyundai Motor Group
Suzuki Manufacturing of America Corp. | Primary OEMs: Rivian Automotive
TCI Powder Coatings | Primary OEMs: Kia Georgia Inc.
TDK Components USA Inc. | Primary OEMs: Mercedes-Benz USA LLC
TE Connectivity | Primary OEMs: Blue Bird Corp.
Teklas USA | Primary OEMs: Yamaha Motor Manufacturing Corp.
Textron Specialized Vehicles | Primary OEMs: Textron Specialized Vehicles
Thermal Ceramics Inc. | Primary OEMs: SK Battery America
Thomson Plastics Inc. | Primary OEMs: Archer Aviation Inc.",gemma3:27b,"Answer: There are 3 Vehicle Assembly facilities in Georgia. The corresponding Primary OEMs associated with these facilities are listed in the Evidence table below.

Evidence:
| row_id | Company | EV Supply Chain Role | Primary OEMs |
|---|---|---|---|
| 195 | Kia Georgia Inc. | Vehicle Assembly | Club Car LLC |
| 171 | Superior Essex Inc. | Vehicle Assembly | Multiple OEMs |
| 173 | TCI Powder Coatings | Vehicle Assembly | Kia Georgia Inc. |

Count: 3

Supporting row_ids: 195, 171, 173

Notes: None.",ok,,65536,39135,39135,141,6373409862,439322679,721438000,4940905000,2026-06-24T03:21:13.435905503Z,83680ecdba64920f90633819fa309ae780838be6a55d790fdd026c4e6740a690,2b74b10535a85d8cb6141bc370921f67d078c42baf4a6f4427ed86ba0e5027de,6ae576e204e49630a76a67c72578fbde94e4cf05a7b5adfa33cca6536760c626,504,
